root_word,meaning_en,meaning_vi
a,used before countable or singular nouns referring to people or things that have not already been mentioned,một (mạo từ)
abandon,"to leave somebody, especially somebody you are responsible for, with no intention of returning","từ bỏ, bỏ rơi"
able,"to have the skill, intelligence, opportunity, etc. needed to do something",có khả năng
abolish,"to officially end a law, a system or an institution","bãi bỏ, hủy bỏ"
about,a little more or less than; a little before or after,"về, khoảng"
above,at or to a higher place,"ở trên, cao hơn"
absent,"not in a place because of illness, etc.",vắng mặt
absolute,total and complete,"tuyệt đối, hoàn toàn"
absurd,extremely silly; not logical and sensible,"vô lý, phi lý"
abuse,the use of something in a way that is wrong or harmful,"lạm dụng, ngược đãi"
accent,"a way of pronouncing the words of a language that shows which country, area or social class a person comes from; how well somebody pronounces a particular language","trọng âm, giọng nói"
accept,"to take willingly something that is offered; to say ‘yes’ to an offer, invitation, etc.",chấp nhận
access,the opportunity or right to use something or to see somebody/something,"truy cập, tiếp cận"
accident,"an unpleasant event, especially in a vehicle, that happens unexpectedly and causes injury or damage",tai nạn
accommodate,"to provide somebody with a room or place to sleep, live or sit","chứa, thích nghi"
accomplish,to succeed in doing or completing something,hoàn thành
account,"an arrangement that somebody has with a bank, etc. to keep money there, take some out, etc.","tài khoản, tường thuật"
accuse,to say that somebody has done something wrong or is guilty of something,buộc tội
achieve,"to succeed in reaching a particular goal, status or standard, especially by making an effort for a long time",đạt được
acid,that contains acid or has the essential characteristics of an acid; that has a pH of less than seven,"axit, chua"
acre,a unit for measuring an area of land; 4 840 square yards or about 4 050 square metres,mẫu Anh (đơn vị diện tích)
act,a particular thing that somebody does,"hành động, đạo luật"
acute,very serious or severe,"gay gắt, cấp tính"
ad,"a notice, picture or film telling people about a product, job or service",quảng cáo
adapt,to change your behaviour in order to deal more successfully with a new situation,"thích nghi, chuyển thể"
add,"to put something together with something else so as to increase the size, number, amount, etc.","thêm vào, cộng"
address,"details of where somebody lives or works and where letters, etc. can be sent","địa chỉ, giải quyết"
admire,to respect somebody for what they have done or to respect their qualities,ngưỡng mộ
admit,"to agree, often unwillingly, that something is true","thừa nhận, cho vào"
adopt,to take somebody else’s child into your family and become its legal parent(s),"nhận nuôi, áp dụng"
adult,fully grown or developed,người lớn
advance,done or given before something is going to happen,"tiến bộ, ứng trước"
advantage,a thing that helps you to be better or more successful than other people,lợi thế
adverse,negative and unpleasant; not likely to produce a good result,"bất lợi, ngược lại"
advise,to tell somebody what you think they should do in a particular situation,khuyên bảo
afraid,feeling fear; frightened because you think that you might be hurt or suffer,sợ hãi
after,later in time; afterwards,"sau, phía sau"
age,the number of years that a person has lived or a thing has existed,"tuổi, thời đại"
agent,"a person whose job is to act for, or manage the affairs of, other people in business, politics, etc.","đại lý, tác nhân"
ago,used in expressions of time with the simple past tense to show how far in the past something happened,trước đây (thời gian)
agree,to have the same opinion as somebody; to say that you have the same opinion,đồng ý
aid,"money, food, etc. that is sent to help countries in difficult situations","viện trợ, giúp đỡ"
aim,the purpose of doing something; what somebody is trying to achieve,"mục đích, nhắm"
air,the mixture of gases that surrounds the earth and that we breathe,"không khí, không trung"
alarm,a loud noise or a signal that warns people of danger or of a problem,"báo động, lo sợ"
alcohol,"drinks such as beer, wine, etc. that can make people drunk","rượu, cồn"
alert,able to think quickly; quick to notice things,"cảnh giác, báo động"
alien,strange and frightening; different from what you are used to,"người ngoài hành tinh, xa lạ"
all,completely,tất cả
allege,to state something as a fact but without giving proof,cáo buộc
allow,to let somebody/something do something; to let something happen or be done,cho phép
ally,"a country that has agreed to help and support another country, especially in case of a war",đồng minh
alone,without any other people,một mình
along,forward,dọc theo
alter,to become different; to make somebody/something different,thay đổi
amateur,"doing something for pleasure or interest, not as a job",nghiệp dư
amaze,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),làm kinh ngạc
amend,"to change a law, document, statement, etc. slightly in order to correct a mistake or to improve it",sửa đổi
amid,"in the middle of or during something, especially something that causes excitement or fear",giữa (khoảng)
among,surrounded by somebody/something; in the middle of somebody/something,giữa (nhiều thứ)
amuse,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),làm vui thích
analysis,the detailed study or examination of something in order to understand more about it; the result of the study,phân tích
ancestor,a person in your family who lived a long time ago,tổ tiên
anchor,a heavy metal object that is attached to a rope or chain and dropped over the side of a ship or boat to keep it in one place,mỏ neo
ancient,belonging to a period of history that is thousands of years in the past,cổ đại
angel,"a spirit who is believed to be a servant of God, and is sent by God to deliver a message or perform a task. Angels are often shown dressed in white, with wings.",thiên thần
angle,"the space between two lines or surfaces that join, measured in degrees",góc độ
angry,having strong feelings about something that you dislike very much or about an unfair situation,giận dữ
animal,"a creature that is not a bird, a fish, a reptile, an insect or a human",động vật
ankle,the joint connecting the foot to the leg; the narrow part of the leg just above the ankle joint,mắt cá chân
announce,"to tell people something officially, especially about a decision, plans, etc.",thông báo
annoy,to make somebody slightly angry ,làm phiền
answer,"something that you say, write or do to react to a question or situation",trả lời
anticipate,to expect something,"dự đoán, mong đợi"
any,"used to emphasize an adjective or adverb in negative sentences or questions, meaning ‘at all’",bất kỳ
apart,"separated by a distance, of space or time","tách rời, riêng biệt"
appeal,"a deeply felt request for money, help or information that is needed immediately, especially one made by a charity or by the police","kháng cáo, hấp dẫn"
appear,to start to be seen,"xuất hiện, có vẻ"
apple,a round fruit with shiny red or green skin that is fairly hard and white inside,quả táo
applicable,that can be said to be true in the case of somebody/something,có thể áp dụng
apply,"to make a formal request, usually in writing, for something such as a job, a loan, permission for something, a place at a university, etc.","áp dụng, nộp đơn"
appoint,to choose somebody for a job or position of responsibility,bổ nhiệm
approach,a way of dealing with somebody/something; a way of doing or thinking about something such as a problem or a task,"tiếp cận, phương pháp"
approve,"to think that somebody/something is good, acceptable or suitable",chấp thuận
architect,a person whose job is designing buildings,kiến trúc sư
area,"part of a place, town, etc., or a region of a country or the world","khu vực, diện tích"
argue,to speak angrily to somebody because you disagree with them,"tranh luận, cãi nhau"
arm,either of the two long parts that stick out from the top of the body and connect the shoulders to the hands,"cánh tay, vũ trang"
around,approximately,xung quanh
arrange,to plan or organize something in advance,sắp xếp
array,"a group or collection of things or people, often one that is large or impressive","mảng, dãy"
arrest,the act of arresting somebody,bắt giữ
arrive,"to get to a place, especially at the end of a journey",đến nơi
arrow,"a thin stick with a sharp point at one end, which is shot from a bow",mũi tên
art,"the use of the imagination to express ideas or feelings, particularly in painting, drawing or sculpture ",nghệ thuật
as,"used when you are comparing two people or things, or two situations","như, khi"
ash,"the grey or black powder that is left after something, especially tobacco, wood or coal, has burnt",tro
ask,"to say or write something in the form of a question, in order to get information","hỏi, yêu cầu"
assert,to state clearly and definitely that something is true,khẳng định
assess,to make a judgement about the nature or quality of somebody/something,đánh giá
assign,"to give somebody something that they can use, or some work or responsibility","phân công, chỉ định"
assist,to help somebody to do something,"hỗ trợ, giúp đỡ"
assume,to think or accept that something is true but without having proof of it,"giả định, cho là"
astonish,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),làm sửng sốt
at,used to say where something/somebody is or where something happens,"tại, ở"
athlete,a person who competes in sports,vận động viên
attach,to fasten or join one thing to another,gắn kèm
attack,an act of using violence to try to hurt or kill somebody,tấn công
attain,"to succeed in getting something, usually after a lot of effort",đạt được
attend,to be present at an event,tham dự
attitude,the way that you think and feel about somebody/something; the way that you behave towards somebody/something that shows how you think and feel,thái độ
attract,"if you are attracted by something, it interests you and makes you want it; if you are attracted by somebody, you like or admire them",thu hút
auction,a public sale in which things are sold to the person who offers the most money for them,đấu giá
audio,connected with sound that is recorded,âm thanh
august,"the 8th month of the year, between July and September","trang nghiêm, tháng Tám"
aunt,the sister of your father or mother; the wife of your uncle or aunt,"cô, dì, bác gái"
author,a person who writes books or the person who wrote a particular book,tác giả
auto,a car,tự động (viết tắt)
automatic,having controls that work without needing a person to operate them,tự động
autumn,"the season of the year between summer and winter, when leaves change colour and the weather becomes colder",mùa thu
avoid,to prevent something bad from happening,tránh né
aware,knowing or realizing something,nhận thức được
away,to or at a distance from somebody/something in space or time,"xa, đi xa"
awkward,making you feel embarrassed,"vụng về, khó xử"
baby,a very young child or animal,em bé
back,located behind or at the back of something,"lưng, phía sau"
bad,unpleasant; full of problems,"xấu, tệ"
bag,"a container made of cloth, leather, plastic or paper, used to carry things in, especially when shopping or travelling",túi
bail,"money that somebody agrees to pay if a person accused of a crime does not appear at their trial. When bail has been arranged, the accused person is allowed to go free until the trial.",bảo lãnh
bake,to cook food in an oven without extra fat or liquid; to be cooked in this way,nướng bánh
balance,"a situation in which different things exist in equal, correct or good amounts","thăng bằng, cân đối"
ball,"a round object used for throwing, hitting or kicking in games and sports",quả bóng
balloon,a small bag made of very thin rubber that becomes larger and rounder when you fill it with air or gas. Balloons are brightly coloured and used as decorations or toys.,bóng bay
ban,an official rule that says that something is not allowed,cấm
band,"a small group of musicians who play popular music together, often with a singer or singers","ban nhạc, dải băng"
bank,"an organization that provides various financial services, for example keeping or lending money","ngân hàng, bờ sông"
bar,a place where you can buy and drink alcoholic and other drinks,"quán bar, thanh chắn"
bare,not covered by any clothes,trần trụi
base,"the lowest part of something, especially the part or surface on which it rests or stands","căn cứ, cơ sở"
basket,"a container for holding or carrying things. Baskets are made of long thin pieces of material that bends and twists easily, for example plastic, wire or wicker.","giỏ, rổ"
bat,"a piece of wood with a handle, made in various shapes and sizes, and used for hitting the ball in games such as baseball, cricket and table tennis","con dơi, gậy đánh bóng"
bath,"a large, long container that you put water in and then get into to wash your whole body",bồn tắm
battle,"a fight between armies, ships or planes, especially during a war; a violent fight between groups of people",trận chiến
bay,"a part of the sea, or of a large lake, partly surrounded by a wide curve of the land",vịnh
be,"used when you are naming people or things, describing them or giving more information about them","là, tồn tại"
beach,"an area of sand or small stones (called shingle), next to the sea or a lake",bãi biển
beam,"a line of light, electromagnetic waves or particles","chùm tia, dầm"
bean,"a seed, or pod containing seeds, of a climbing plant, eaten as a vegetable. There are several types of bean and the plants that they grow on are also called beans.",hạt đậu
bear,a heavy wild animal with thick fur and sharp claws (= pointed parts on the ends of its feet). There are many types of bear.,"gấu, chịu đựng"
beast,"an animal, especially one that is large or dangerous, or one that is unusual",con thú
beat,"a single hit to something, such as a drum, or a movement of something, such as your heart; the sound that this makes","đánh, nhịp đập"
beauty,the quality of giving pleasure to the senses or to the mind,vẻ đẹp
become,to start to be something,trở thành
bed,a piece of furniture for sleeping on,giường
bee,a black and yellow flying insect that can sting (= touch your skin and make you feel a sharp pain).Bees live in large groups and make honey (= a sweet sticky substance that is good to eat).,con ong
beef,meat that comes from a cow,thịt bò
beer,an alcoholic drink made from malt with hops added to give it taste. There are many types of beer.,bia
