word,pos,structure,meaning_en,meaning_vi
paraphrase,verb,para-[phrase],to express the meaning of something using different words,"diễn giải lại (một câu, đoạn văn) bằng từ ngữ khác"
academic,adjective,[academy]-ic,"relating to education, schools, colleges, and universities, or to scholarly study","thuộc về học thuật, giáo dục"
academic,noun,[academy]-ic,a teacher or scholar working at a college or university,"nhà nghiên cứu, giảng viên đại học; học giả"
english,noun,[english],the English language,tiếng Anh
something,pronoun,[some]-[thing],a thing that is not specified or known,một điều/vật gì đó (không xác định)
rather,adverb,[rather],to a certain extent; used to express a preference,khá là; thà (làm gì đó) hơn
concept,noun,[concept],an abstract idea or general notion,khái niệm
demo,noun,[demo],"a demonstration, especially of how a product works",buổi trình diễn/thử nghiệm (sản phẩm)
peel,verb,[peel],to remove the skin or outer covering of a fruit or vegetable,"gọt vỏ (trái cây, rau củ)"
peel,noun,[peel],the skin or outer covering of a fruit or vegetable,"vỏ (trái cây, rau củ)"
conclusion,noun,[conclusion],"the end or final part of something, especially a judgment reached by reasoning",kết luận
study,verb,[study],"to learn about a subject by reading, memorizing facts, or doing exercises","học, nghiên cứu"
simply,adverb,[simple]-ly,in a simple manner; merely,một cách đơn giản; chỉ là
information,noun,in-[form]-ation,facts or details about someone or something,thông tin
source,noun,[source],"a place, person, or thing from which something originates",nguồn
company,noun,[company],"a commercial business, or the state of being with others",công ty; sự bầu bạn
student,noun,[student],a person who is studying at a school or college,"học sinh, sinh viên"
different,adjective,[differ]-ent,not the same as another or each other,"khác nhau, khác biệt"
others,pronoun,[other]-s,people or things apart from oneself or the ones already mentioned,những người/vật khác
cannot,verb,[can]-not,"to not be able to, or not be allowed to, do something",không thể
however,adverb,[how]-[ever],used to introduce a statement that contrasts with something previously said,tuy nhiên
individual,adjective,[individual],single; separate; relating to one particular person or thing,"riêng lẻ, cá nhân"
individual,noun,[individual],"a single human being, as distinct from a group","một cá nhân, một người"
knowledge,noun,[know]-ledge,"facts, information, and skills acquired through experience or education",kiến thức
benefit,noun,[benefit],an advantage or profit gained from something,lợi ích
effect,noun,[effect],a change that is a result or consequence of an action or cause,"hiệu quả, kết quả, tác động"
produce,verb,[produce],to make or manufacture something,"sản xuất, tạo ra"
produce,noun,[produce],"agricultural products, especially fruits and vegetables, collectively","nông sản (rau, quả...)"
social,adjective,[social],"relating to society or its organization, or to interacting with other people",thuộc về xã hội; giao tiếp xã hội
local,adjective,[local],relating to or existing in a particular area or neighborhood,"thuộc địa phương, tại chỗ"
technology,noun,[technology],"the application of scientific knowledge for practical purposes, especially in industry",công nghệ
although,conjunction,al-[though],in spite of the fact that; even though,mặc dù
synonym,noun,[synonym],a word or phrase that means nearly the same as another word or phrase,từ đồng nghĩa
language,noun,[language],the system of communication used by a particular country or community,ngôn ngữ
chi,noun,[chi],the vital life energy recognized in Chinese philosophy and medicine (also spelled qi); also the 22nd letter of the Greek alphabet,khí (năng lượng sống trong triết học Trung Hoa); cũng là tên chữ cái chi trong bảng chữ cái Hy Lạp
vocabulary,noun,[vocabulary],the body of words used in a particular language or by a particular person,vốn từ vựng
process,noun,[process],a series of actions or steps taken in order to achieve a particular end,"quá trình, quy trình"
since,preposition,[since],from a particular time in the past until now,từ (một thời điểm trong quá khứ) đến nay
since,conjunction,[since],because; for the reason that,"bởi vì, vì"
enough,determiner,[enough],as much or as many as required,đủ
whether,conjunction,[whether],used to introduce alternative possibilities,liệu (có)... hay không
explanation,noun,ex-[plan]-ation,a statement or account that makes something clear,lời giải thích
society,noun,[society],a large group of people living together in an organized community,xã hội
provide,verb,[provide],to give someone something that they need,cung cấp
someone,pronoun,[some]-[one],an unspecified or unknown person,"ai đó, một người nào đó"
exam,noun,[exam],a formal test of knowledge or skill,"kỳ thi, bài thi"
happen,verb,[happen],"to occur or take place, especially without being planned",xảy ra
already,adverb,al-[ready],before the time in question; by now,"đã, rồi"
format,noun,[form]-at,the way in which something is arranged or presented,định dạng
another,determiner,an-[other],one more; an additional or different one,"một cái khác, thêm một"
environment,noun,[environ]-ment,"the surroundings or conditions in which a person, animal, or plant lives",môi trường
almost,adverb,al-[most],not quite; very nearly,"gần như, hầu như"
today,adverb,to-[day],on or during this present day,hôm nay
actually,adverb,[actual]-ly,in fact; really (used to emphasize the truth of a statement),"thực ra, thực sự"
scientist,noun,[scientist],a person who studies or has expert knowledge of a science,nhà khoa học
community,noun,[community],a group of people living in the same area or having a particular characteristic in common,cộng đồng
require,verb,[require],to need something for a particular purpose,"đòi hỏi, yêu cầu, cần"
reduce,verb,[reduce],"to make something smaller or less in amount, degree, or size",giảm bớt
ability,noun,[able]-ity,the capacity to do something,khả năng
subject,noun,[subject],"a topic being discussed, studied, or dealt with","chủ đề, môn học"
subject,verb,[subject],"to cause someone or something to undergo a particular experience, typically an unpleasant one","bắt phải chịu, khiến phải trải qua"
depend,verb,[depend],"to be controlled or determined by, or to rely on, someone or something",phụ thuộc vào
product,noun,pro-[duct],an article or substance that is manufactured or refined for sale,sản phẩm
always,adverb,al-[ways],at all times; on every occasion,luôn luôn
instead,adverb,in-[stead],as a substitute or alternative,thay vào đó
everyone,pronoun,[every]-[one],every person; all people,mọi người
activity,noun,[active]-ity,the condition in which things are happening or being done; a specific action or pursuit,hoạt động
nothing,pronoun,[no]-[thing],not anything; no single thing,không có gì
unit,noun,[unit],"a single, complete thing that is part of a larger whole; a standard measure",đơn vị
argument,noun,[argue]-ment,"an exchange of views in which people disagree, or a reason given to support an idea",cuộc tranh luận; lập luận
generation,noun,[generate]-ion,all the people born and living at about the same time,thế hệ
demand,noun,[demand],a firm request for something; the desire of buyers for goods or services,"nhu cầu, yêu cầu"
term,noun,[term],"a word or phrase used to describe something, especially in a specific context; a fixed period of time",thuật ngữ; kỳ hạn
thesis,noun,[thesis],"a long piece of writing on a particular subject, done as part of a university degree","luận văn, luận án"
false,adjective,[false],not true or correct; not genuine,"sai, giả"
best,adjective,[best],"of the most excellent, effective, or desirable type or quality",tốt nhất
quality,noun,[quality],the standard of something as measured against other things of a similar kind,chất lượng
solution,noun,[solution],a means of solving a problem or dealing with a difficult situation,giải pháp
physical,adjective,[physical],"relating to the body or to things perceived through the senses, as opposed to the mind","thuộc về thể chất, vật lý"
amount,noun,a-[mount],"a quantity of something, especially the total of a thing or things in number, size, or extent",số lượng
attention,noun,[attention],notice taken of someone or something; the act of applying one's mind to something,sự chú ý
essential,adjective,[essential],absolutely necessary; extremely important,"thiết yếu, cần thiết"
therefore,adverb,[there]-[fore],for that reason; consequently,"vì vậy, do đó"
structure,noun,[structure],the arrangement of and relations between the parts of something complex,cấu trúc
qua,preposition,[qua],in the capacity of; as being (used to specify the role in which someone or something is being considered),với tư cách là
focus,verb,[focus],"to pay particular attention to something, or to adjust a lens to produce a clear image",tập trung
lesson,noun,[lesson],a period of learning or teaching; something learned through experience,bài học
practice,noun,[practice],"the actual application of an idea or method, as opposed to theory; repeated exercise to improve skill","sự thực hành, luyện tập"
