affix,meaning_en,meaning_vi,so_tu_dung,vi_du
a-,not/without (Greek); on/in (VD: aboard); or intensifier,không/vô (Hy Lạp); trên/vào (VD aboard),121,"abase, abasement, ascertain, ascertainable, acclimate, acclimatize"
ab-,"away from, off","rời xa, khỏi",6,"abnormal, abnormally, abnormality, aborigine, aboriginal, absolve"
after-,"after, following","sau đó, theo sau",6,"afterbirth, aftercare, afterlife, afternoon, aftertaste, afterthought"
al-,"to, toward (assimilated form of ad-)","tất cả (biến thể, VD almighty)",2,"almighty, although"
ante-,before,trước,3,"antechamber, antedate, anteroom"
anti-,against,chống lại,16,"antibody, anticlockwise, antiredeposition, antifreeze, antigen, antihero"
auto-,self (Greek),tự thân,2,"autoloader, automobile"
back-,"backward, behind","ngược lại, phía sau",13,"backbit, backbitten, backbite, backbiter, backchat, backdate"
be-,"thoroughly, to make, about","hoàn toàn, làm cho, về",34,"becalmed, bedeck, bedevil, bedevilment, befall, befallen"
bi-,two,"hai, đôi",16,"bicameral, bicarbonate, bicycle, bicyclist, bilinear, bimetallic"
by-,"near, secondary, side","gần, phụ, bên cạnh",8,"bylaw, byline, bypass, bypath, byroad, bystander"
centi-,"hundred, one hundredth",một phần trăm,2,"centigrade, centimetre"
circum-,around (Latin),xung quanh,6,"circumpolar, circumscribe, circumscription, circumstance, circumstantial, circumstantially"
co-,"together, jointly","cùng nhau, chung",121,"coauthor, codetermines, coeditors, coeducation, coeducational, coexist"
cross-,"across, crosswise","chéo, băng qua",20,"crossbar, crossbeam, crossbones, crossbow, crossbred, crosscheck"
de-,"down, away, reverse, remove","xuống, loại bỏ, đảo ngược",114,"deactivated, deactivation, debag, debase, debasement, debone"
demi-,half,nửa,3,"demigod, demigoddess, epidemiological"
di-,"two, twice (Greek)",hai (Hy Lạp),4,"dipole, dissolve, dispirit, dispiritedly"
dia-,"through, across (Greek)",xuyên qua (Hy Lạp),1,dialogue
dis-,"not, opposite of, apart","không, ngược lại, tách rời",178,"disable, disability, disablement, disabuse, disadvantage, disadvantageous"
down-,downward,xuống,16,"downbeat, downcast, downfall, downgrade, downhearted, downheartedly"
dys-,"bad, difficult, abnormal (Greek)","xấu, khó khăn (Hy Lạp)",1,dystrophy
e-,"out of, from (variant of ex-)",ra khỏi (biến thể của ex-),24,"efface, effacement, ineffaceable, elaborate, elaboration, elaborately"
en-,"to make, put into","làm cho, đưa vào",90,"enable, enact, enactment, reenact, embank, embankment"
epi-,"upon, above (Greek)","trên, phía trên (Hy Lạp)",6,"epicentre, epicycle, epicyclically, epigenetic, epilogue, epidemiological"
eu-,"good, well (Greek)","tốt, đẹp (Hy Lạp)",12,"eugenic, eugenics, eugenically, eulogy, eulogist, eulogize"
ex-,"out of, former","ra khỏi, cựu, nguyên",38,"exchange, exchangeable, exclaim, exclamatory, exclamation, exhusband"
extra-,"outside, beyond","ngoài mức bình thường, thêm",3,"extralegal, extrasensory, extraterritorial"
fore-,"before, in front","trước, phía trước",47,"forearm, forbear, forbearance, forbore, forecast, forecasters"
god-,"god (VD: Godwin, but likely name fragment here)","thần, chúa (thường là mảnh tên riêng Godwin)",1,godwin
half-,half,"một nửa, không hoàn chỉnh",6,"halfback, halfhearted, halfpenny, halftime, halftone, halfway"
hemi-,half (Greek),nửa (Hy Lạp),2,"hemisphere, hemispherical"
hyper-,"over, excessive (Greek)","quá mức, cực độ (Hy Lạp)",7,"hypercellularity, hypercritical, hypercritically, hypermarket, hypersensitive, hypersensitivity"
hypo-,"under, below normal (Greek)","dưới, dưới mức bình thường (Hy Lạp)",2,"hypoactive, hypocellularity"
im-,not (before b/m/p) — variant of in-,không (biến thể của in- trước b/m/p),282,"inability, inaccessible, inaccessibly, inaccessibility, inactive, inaction"
in-,"not; into, inward",không; vào trong,146,"imbedded, inboard, inborn, inbound, inbred, incite"
infra-,"below, beneath (Latin)","dưới, bên dưới",1,infrared
inter-,"between, among","giữa, liên",47,"interact, interaction, interactive, interbred, interchange, interchangeable"
intra-,"within, inside (Latin)",bên trong,1,intradepartmental
juxta-,"next to, beside (Latin)",kề bên,2,"juxtapose, juxtaposition"
kilo-,thousand (Greek),nghìn,4,"kilocycle, kilolitre, kilometre, kiloton"
macro-,large (Greek),lớn,1,macroscopically
mal-,"bad, badly","xấu, tệ",11,"maladaptive, malcontent, malformed, malformation, malformations, malfunction"
mega-,"large, one million","lớn, một triệu",4,"megadeath, megaphone, megaton, multimegaton"
melli-,honey (Latin),"mật ong (Latin, VD mellifluous)",1,mellifluous
micro-,small,"nhỏ, vi mô",14,"microanalysis, microdot, microelectronics, microfilm, microfossils, microorganism"
mid-,middle,giữa,16,"midair, midday, midmorning, midmost, midnight, midpoint"
milli-,"thousand, one thousandth",một phần nghìn,3,"millibar, millilitre, millimetre"
min-,"small, less",nhỏ (biến thể của mini-),1,minibus
mis-,"wrongly, badly","sai, xấu",82,"misadvise, misalliance, misapply, misbehave, misbehavior, misbehaviour"
mono-,"one, single","một, đơn",11,"mondays, monologue, monologist, monoplane, monorail, monotone"
multi-,many,nhiều,7,"multichannel, multicolor, multidimensional, multimillionaire, multipurpose, multiracial"
non-,not,không,45,"nonacid, nonreactors, nonreactivity, nonassertive, nonassertively, noncombatant"
o-,"connective vowel, little independent meaning","chống, hướng về (biến thể của ob-)",9,"oppose, opposite, opposition, oppress, oppressor, oppression"
ob-,"against, toward, in the way of (Latin)","chống lại, hướng về",1,obverse
off-,"away, off","tắt, xa khỏi",11,"offbeat, offhand, offhandedly, offhandedness, offprint, offset"
omni-,all (Latin),tất cả,4,"omnipotent, omnipotence, omnipresence, omnipresent"
on-,"on, onto","vào, tiếp diễn",7,"oncoming, ongoing, onlooker, onrush, onset, onshore"
out-,"beyond, exceeding, external","ra ngoài, vượt trội",84,"outback, outbalance, outbid, outbidden, outboard, outbound"
over-,"above, excess, too much","trên, quá mức",130,"overact, overactive, overage, overall, overbalance, overbear"
pent-,five (Greek),năm (Hy Lạp),1,penthouse
peri-,around (Greek),xung quanh (Hy Lạp),1,periscope
poly-,many (Greek),nhiều (Hy Lạp),3,"polycrystalline, polyphonic, polytonal"
post-,after,sau,5,"postdate, postgraduate, postpaid, postscript, postwar"
pre-,before,trước,53,"prearrange, prearrangement, precast, preconcerted, precondition, preconscious"
pro-,"forward, in favor of","về phía trước, ủng hộ",29,"proclaim, proclamation, procreate, procreative, procreation, procreativity"
quad-,four (Latin),bốn,3,"quadrangle, quadrangular, quadripartite"
quadro-,four (variant of quadri-),bốn (biến thể quadri-),1,quadrophonic
quint-,five,năm,3,"quintessence, quintessential, quintessentially"
re-,"again, back","lại, làm lại",275,"react, reactor, reaction, reactive, reactants, reactivate"
retro-,backward,"ngược lại, lùi",5,"retroactive, retroactively, retrograde, retrogradations, retrorocket"
semi-,"half, partly","nửa, một phần",10,"semiautomatic, semicircle, semicircular, semifinal, semifinalist, semiology"
su-,"under, below (variant of sub-, before p)",dưới (biến thể sub- trước p),11,"suppose, supposedly, supposition, suppository, presuppose, presupposition"
sub-,"under, below",dưới,42,"subconscious, subconsciously, subconsciousness, subcontract, subcontractor, subdivide"
super-,"above, beyond, extremely","trên, vượt trội, cực kỳ",30,"supercargo, supercharged, supercharger, supercritical, superego, superfine"
sur-,"over, above (variant of super-)","trên, vượt quá (biến thể của super-)",13,"surcharge, surcoat, surmount, surmountable, unsurmountable, insurmountable"
sus-,"under, from below (variant of sub-)","dưới (biến thể sub-, VD sustenance)",1,sustenance
sym-,"together, with (variant of syn- before b/m/p)",cùng nhau (biến thể của syn- trước b/m/p),9,"sympathy, sympathize, sympathetic, sympathizer, sympathizingly, sympathetically"
syn-,"together, with (Greek)",cùng nhau (Hy Lạp),4,"syntactic, syntactical, syntactically, syntax"
through-,through,xuyên suốt,3,"throughout, throughput, throughway"
thru-,through (informal spelling),xuyên qua (cách viết thông tục),1,thruway
trans-,"across, beyond, change","xuyên qua, chuyển đổi",29,"transact, transaction, transcultural, transfigure, transfiguration, transfix"
tri-,three,ba,4,"triangle, triangular, tricycle, tripartite"
u-,"variant connective form, little independent meaning","không, vô (Hy Lạp ""ou-"", VD utopia = ""không nơi chốn"")",3,"utopia, utopian, utopianism"
ultra-,"beyond, extremely","vượt quá, cực đoan",4,"ultramarine, ultramodern, ultrasonic, ultrasonically"
un-,"not, opposite of; reverse an action","không, ngược lại (phủ định/đảo nghĩa)",536,"unable, unacceptable, unaccountable, unaccountably, unachieved, unachievable"
under-,"below, insufficient","dưới, không đủ",70,"underachievers, underact, underage, underarm, underbedding, underbid"
uni-,one,"một, đơn",11,"unidirectional, uniform, uniformly, uniformity, unisex, universe"
up-,"upward, higher",lên trên,38,"upbeat, upbringing, upcoming, upcountry, update, upend"
