loai,thanh_phan,trang_thai,meaning_en,meaning_vi,bien_the,ghi_chu
Root,a,Đã có trong MorphLink,used before countable or singular nouns referring to people or things that have not already been mentioned,một (mạo từ),không có biến thể đáng kể,
Root,abandon,Đã có trong MorphLink,"to leave somebody, especially somebody you are responsible for, with no intention of returning","từ bỏ, bỏ rơi",không có biến thể đáng kể,
Root,able,Đã có trong MorphLink,"to have the skill, intelligence, opportunity, etc. needed to do something",có khả năng,không có biến thể đáng kể,
Root,abolish,Đã có trong MorphLink,"to officially end a law, a system or an institution","bãi bỏ, hủy bỏ",không có biến thể đáng kể,
Root,about,Đã có trong MorphLink,a little more or less than; a little before or after,"về, khoảng",không có biến thể đáng kể,
Root,above,Đã có trong MorphLink,at or to a higher place,"ở trên, cao hơn",không có biến thể đáng kể,
Root,absent,Đã có trong MorphLink,"not in a place because of illness, etc.",vắng mặt,không có biến thể đáng kể,
Root,absolute,Đã có trong MorphLink,total and complete,"tuyệt đối, hoàn toàn",không có biến thể đáng kể,
Root,absurd,Đã có trong MorphLink,extremely silly; not logical and sensible,"vô lý, phi lý",không có biến thể đáng kể,
Root,abuse,Đã có trong MorphLink,the use of something in a way that is wrong or harmful,"lạm dụng, ngược đãi",không có biến thể đáng kể,
Root,accent,Đã có trong MorphLink,"a way of pronouncing the words of a language that shows which country, area or social class a person comes from; how well somebody pronounces a particular language","trọng âm, giọng nói",không có biến thể đáng kể,
Root,accept,Đã có trong MorphLink,"to take willingly something that is offered; to say ‘yes’ to an offer, invitation, etc.",chấp nhận,không có biến thể đáng kể,
Root,access,Đã có trong MorphLink,the opportunity or right to use something or to see somebody/something,"truy cập, tiếp cận",không có biến thể đáng kể,
Root,accident,Đã có trong MorphLink,"an unpleasant event, especially in a vehicle, that happens unexpectedly and causes injury or damage",tai nạn,không có biến thể đáng kể,
Root,accommodate,Đã có trong MorphLink,"to provide somebody with a room or place to sleep, live or sit","chứa, thích nghi",không có biến thể đáng kể,
Root,accomplish,Đã có trong MorphLink,to succeed in doing or completing something,hoàn thành,không có biến thể đáng kể,
Root,account,Đã có trong MorphLink,"an arrangement that somebody has with a bank, etc. to keep money there, take some out, etc.","tài khoản, tường thuật",không có biến thể đáng kể,
Root,accuse,Đã có trong MorphLink,to say that somebody has done something wrong or is guilty of something,buộc tội,không có biến thể đáng kể,
Root,achieve,Đã có trong MorphLink,"to succeed in reaching a particular goal, status or standard, especially by making an effort for a long time",đạt được,không có biến thể đáng kể,
Root,acid,Đã có trong MorphLink,that contains acid or has the essential characteristics of an acid; that has a pH of less than seven,"axit, chua",không có biến thể đáng kể,
Root,acre,Đã có trong MorphLink,a unit for measuring an area of land; 4 840 square yards or about 4 050 square metres,mẫu Anh (đơn vị diện tích),không có biến thể đáng kể,
Root,act,Đã có trong MorphLink,a particular thing that somebody does,"hành động, đạo luật",không có biến thể đáng kể,
Root,acute,Đã có trong MorphLink,very serious or severe,"gay gắt, cấp tính",không có biến thể đáng kể,
Root,ad,Đã có trong MorphLink,"a notice, picture or film telling people about a product, job or service",quảng cáo,không có biến thể đáng kể,
Root,adapt,Đã có trong MorphLink,to change your behaviour in order to deal more successfully with a new situation,"thích nghi, chuyển thể",không có biến thể đáng kể,
Root,add,Đã có trong MorphLink,"to put something together with something else so as to increase the size, number, amount, etc.","thêm vào, cộng",không có biến thể đáng kể,
Root,address,Đã có trong MorphLink,"details of where somebody lives or works and where letters, etc. can be sent","địa chỉ, giải quyết",không có biến thể đáng kể,
Root,admire,Đã có trong MorphLink,to respect somebody for what they have done or to respect their qualities,ngưỡng mộ,không có biến thể đáng kể,
Root,admit,Đã có trong MorphLink,"to agree, often unwillingly, that something is true","thừa nhận, cho vào",không có biến thể đáng kể,
Root,adopt,Đã có trong MorphLink,to take somebody else’s child into your family and become its legal parent(s),"nhận nuôi, áp dụng",không có biến thể đáng kể,
Root,adult,Đã có trong MorphLink,fully grown or developed,người lớn,không có biến thể đáng kể,
Root,advance,Đã có trong MorphLink,done or given before something is going to happen,"tiến bộ, ứng trước",không có biến thể đáng kể,
Root,advantage,Đã có trong MorphLink,a thing that helps you to be better or more successful than other people,lợi thế,không có biến thể đáng kể,
Root,adverse,Đã có trong MorphLink,negative and unpleasant; not likely to produce a good result,"bất lợi, ngược lại",không có biến thể đáng kể,
Root,advise,Đã có trong MorphLink,to tell somebody what you think they should do in a particular situation,khuyên bảo,không có biến thể đáng kể,
Root,afraid,Đã có trong MorphLink,feeling fear; frightened because you think that you might be hurt or suffer,sợ hãi,không có biến thể đáng kể,
Root,after,Đã có trong MorphLink,later in time; afterwards,"sau, phía sau",không có biến thể đáng kể,
Root,age,Đã có trong MorphLink,the number of years that a person has lived or a thing has existed,"tuổi, thời đại",không có biến thể đáng kể,
Root,agent,Đã có trong MorphLink,"a person whose job is to act for, or manage the affairs of, other people in business, politics, etc.","đại lý, tác nhân",không có biến thể đáng kể,
Root,ago,Đã có trong MorphLink,used in expressions of time with the simple past tense to show how far in the past something happened,trước đây (thời gian),không có biến thể đáng kể,
Root,agree,Đã có trong MorphLink,to have the same opinion as somebody; to say that you have the same opinion,đồng ý,không có biến thể đáng kể,
Root,aid,Đã có trong MorphLink,"money, food, etc. that is sent to help countries in difficult situations","viện trợ, giúp đỡ",không có biến thể đáng kể,
Root,aim,Đã có trong MorphLink,the purpose of doing something; what somebody is trying to achieve,"mục đích, nhắm",không có biến thể đáng kể,
Root,air,Đã có trong MorphLink,the mixture of gases that surrounds the earth and that we breathe,"không khí, không trung",không có biến thể đáng kể,
Root,alarm,Đã có trong MorphLink,a loud noise or a signal that warns people of danger or of a problem,"báo động, lo sợ",không có biến thể đáng kể,
Root,alcohol,Đã có trong MorphLink,"drinks such as beer, wine, etc. that can make people drunk","rượu, cồn",không có biến thể đáng kể,
Root,alert,Đã có trong MorphLink,able to think quickly; quick to notice things,"cảnh giác, báo động",không có biến thể đáng kể,
Root,alien,Đã có trong MorphLink,strange and frightening; different from what you are used to,"người ngoài hành tinh, xa lạ",không có biến thể đáng kể,
Root,all,Đã có trong MorphLink,completely,tất cả,không có biến thể đáng kể,
Root,allege,Đã có trong MorphLink,to state something as a fact but without giving proof,cáo buộc,không có biến thể đáng kể,
Root,allow,Đã có trong MorphLink,to let somebody/something do something; to let something happen or be done,cho phép,không có biến thể đáng kể,
Root,ally,Đã có trong MorphLink,"a country that has agreed to help and support another country, especially in case of a war",đồng minh,không có biến thể đáng kể,
Root,alone,Đã có trong MorphLink,without any other people,một mình,không có biến thể đáng kể,
Root,along,Đã có trong MorphLink,forward,dọc theo,không có biến thể đáng kể,
Root,alter,Đã có trong MorphLink,to become different; to make somebody/something different,thay đổi,không có biến thể đáng kể,
Root,amateur,Đã có trong MorphLink,"doing something for pleasure or interest, not as a job",nghiệp dư,không có biến thể đáng kể,
Root,amaze,Đã có trong MorphLink,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),làm kinh ngạc,không có biến thể đáng kể,
Root,amend,Đã có trong MorphLink,"to change a law, document, statement, etc. slightly in order to correct a mistake or to improve it",sửa đổi,không có biến thể đáng kể,
Root,amid,Đã có trong MorphLink,"in the middle of or during something, especially something that causes excitement or fear",giữa (khoảng),không có biến thể đáng kể,
Root,among,Đã có trong MorphLink,surrounded by somebody/something; in the middle of somebody/something,giữa (nhiều thứ),không có biến thể đáng kể,
Root,amuse,Đã có trong MorphLink,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),làm vui thích,không có biến thể đáng kể,
Root,analysis,Đã có trong MorphLink,the detailed study or examination of something in order to understand more about it; the result of the study,phân tích,không có biến thể đáng kể,
Root,ancestor,Đã có trong MorphLink,a person in your family who lived a long time ago,tổ tiên,không có biến thể đáng kể,
Root,anchor,Đã có trong MorphLink,a heavy metal object that is attached to a rope or chain and dropped over the side of a ship or boat to keep it in one place,mỏ neo,không có biến thể đáng kể,
Root,ancient,Đã có trong MorphLink,belonging to a period of history that is thousands of years in the past,cổ đại,không có biến thể đáng kể,
Root,angel,Đã có trong MorphLink,"a spirit who is believed to be a servant of God, and is sent by God to deliver a message or perform a task. Angels are often shown dressed in white, with wings.",thiên thần,không có biến thể đáng kể,
Root,angle,Đã có trong MorphLink,"the space between two lines or surfaces that join, measured in degrees",góc độ,không có biến thể đáng kể,
Root,angry,Đã có trong MorphLink,having strong feelings about something that you dislike very much or about an unfair situation,giận dữ,không có biến thể đáng kể,
Root,animal,Đã có trong MorphLink,"a creature that is not a bird, a fish, a reptile, an insect or a human",động vật,không có biến thể đáng kể,
Root,ankle,Đã có trong MorphLink,the joint connecting the foot to the leg; the narrow part of the leg just above the ankle joint,mắt cá chân,không có biến thể đáng kể,
Root,announce,Đã có trong MorphLink,"to tell people something officially, especially about a decision, plans, etc.",thông báo,không có biến thể đáng kể,
Root,annoy,Đã có trong MorphLink,to make somebody slightly angry ,làm phiền,không có biến thể đáng kể,
Root,answer,Đã có trong MorphLink,"something that you say, write or do to react to a question or situation",trả lời,không có biến thể đáng kể,
Root,anticipate,Đã có trong MorphLink,to expect something,"dự đoán, mong đợi",không có biến thể đáng kể,
Root,any,Đã có trong MorphLink,"used to emphasize an adjective or adverb in negative sentences or questions, meaning ‘at all’",bất kỳ,không có biến thể đáng kể,
Root,apart,Đã có trong MorphLink,"separated by a distance, of space or time","tách rời, riêng biệt",không có biến thể đáng kể,
Root,appeal,Đã có trong MorphLink,"a deeply felt request for money, help or information that is needed immediately, especially one made by a charity or by the police","kháng cáo, hấp dẫn",không có biến thể đáng kể,
Root,appear,Đã có trong MorphLink,to start to be seen,"xuất hiện, có vẻ",không có biến thể đáng kể,
Root,apple,Đã có trong MorphLink,a round fruit with shiny red or green skin that is fairly hard and white inside,quả táo,không có biến thể đáng kể,
Root,applicable,Đã có trong MorphLink,that can be said to be true in the case of somebody/something,có thể áp dụng,không có biến thể đáng kể,
Root,apply,Đã có trong MorphLink,"to make a formal request, usually in writing, for something such as a job, a loan, permission for something, a place at a university, etc.","áp dụng, nộp đơn",không có biến thể đáng kể,
Root,appoint,Đã có trong MorphLink,to choose somebody for a job or position of responsibility,bổ nhiệm,không có biến thể đáng kể,
Root,approach,Đã có trong MorphLink,a way of dealing with somebody/something; a way of doing or thinking about something such as a problem or a task,"tiếp cận, phương pháp",không có biến thể đáng kể,
Root,approve,Đã có trong MorphLink,"to think that somebody/something is good, acceptable or suitable",chấp thuận,không có biến thể đáng kể,
Root,architect,Đã có trong MorphLink,a person whose job is designing buildings,kiến trúc sư,không có biến thể đáng kể,
Root,area,Đã có trong MorphLink,"part of a place, town, etc., or a region of a country or the world","khu vực, diện tích",không có biến thể đáng kể,
Root,argue,Đã có trong MorphLink,to speak angrily to somebody because you disagree with them,"tranh luận, cãi nhau",không có biến thể đáng kể,
Root,arm,Đã có trong MorphLink,either of the two long parts that stick out from the top of the body and connect the shoulders to the hands,"cánh tay, vũ trang",không có biến thể đáng kể,
Root,around,Đã có trong MorphLink,approximately,xung quanh,không có biến thể đáng kể,
Root,arrange,Đã có trong MorphLink,to plan or organize something in advance,sắp xếp,không có biến thể đáng kể,
Root,array,Đã có trong MorphLink,"a group or collection of things or people, often one that is large or impressive","mảng, dãy",không có biến thể đáng kể,
Root,arrest,Đã có trong MorphLink,the act of arresting somebody,bắt giữ,không có biến thể đáng kể,
Root,arrive,Đã có trong MorphLink,"to get to a place, especially at the end of a journey",đến nơi,không có biến thể đáng kể,
Root,arrow,Đã có trong MorphLink,"a thin stick with a sharp point at one end, which is shot from a bow",mũi tên,không có biến thể đáng kể,
Root,art,Đã có trong MorphLink,"the use of the imagination to express ideas or feelings, particularly in painting, drawing or sculpture ",nghệ thuật,không có biến thể đáng kể,
Root,as,Đã có trong MorphLink,"used when you are comparing two people or things, or two situations","như, khi",không có biến thể đáng kể,
Root,ash,Đã có trong MorphLink,"the grey or black powder that is left after something, especially tobacco, wood or coal, has burnt",tro,không có biến thể đáng kể,
Root,ask,Đã có trong MorphLink,"to say or write something in the form of a question, in order to get information","hỏi, yêu cầu",không có biến thể đáng kể,
