word,pos,meaning_en,meaning_vi
ablest,adjective,"to have the skill, intelligence, opportunity, etc. needed to do something | superlative","to have the skill, intelligence, opportunity, etc. needed to do something | so sánh nhất"
accessors,noun,the opportunity or right to use something or to see somebody/something | person/thing that does (noun,the opportunity or right to use something or to see somebody/something | person/vật thực hiện (danh từ
acculturated,verb,"not/without (Greek | VD: aboard | the customs and beliefs, art, way of life and social organization of a particular country or group | to make/become (verb | adjective","not/khong có (Greek | VD: aboard | the customs and beliefs, art, way of life and social organization of a particular country or group | lam cho/become (động từ | t tính từ"
actuarially,adverb,"a particular thing that somebody does | relating to, place for (adjective/noun | relating to (adjective | noun | adverb of manner / adjective (like","a particular thing that somebody does | li quan đến, place for (t tính từ/danh từ | li quan đến (t tính từ | danh từ | trạng từ chỉ cách thức / t tính từ (like"
airbase,noun,"the mixture of gases that surrounds the earth and that we breathe + the lowest part of something, especially the part or surface on which it rests or stands","the mixture of gases that surrounds the earth and that we breathe + the lowest part of something, especially the part or surface on which it rests or stands"
airbed,noun,the mixture of gases that surrounds the earth and that we breathe + a piece of furniture for sleeping on,the mixture of gases that surrounds the earth and that we breathe + a piece of furniture for sleeping on
airhole,noun,the mixture of gases that surrounds the earth and that we breathe + a hollow space in something solid or in the surface of something,the mixture of gases that surrounds the earth and that we breathe + a hollow space in something solid or in the surface of something
airhostess,noun,"the mixture of gases that surrounds the earth and that we breathe + a person who invites guests to a meal, a party, etc. or who has people staying at their house | female (noun","the mixture of gases that surrounds the earth and that we breathe + a person who invites guests to a meal, a party, etc. or who has people staying at their house | nữ (danh từ"
airier,noun,the mixture of gases that surrounds the earth and that we breathe | having quality of; noun/adjective | person who does; comparative,the mixture of gases that surrounds the earth and that we breathe | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn
airiest,adjective,the mixture of gases that surrounds the earth and that we breathe | having quality of; noun/adjective | superlative,the mixture of gases that surrounds the earth and that we breathe | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất
