word,pos,meaning_en,meaning_vi,structure,kind,base,ipa,ipa_status,meaning_vi_source,thanh_phan_1,thanh_phan_2,thanh_phan_3,thanh_phan_4,thanh_phan_5,thanh_phan_6,loai_ket_hop,so_thanh_phan,nguon,trong_morphlink,co_affix,noun_type,noun_so_nhieu,adj_so_sanh_hon,adj_so_sanh_nhat,adj_ghi_chu,verb_hien_tai_don,verb_gerund,verb_qua_khu,verb_pp,so_nhieu_bat_quy_tac,dong_tu_bat_quy_tac,multi_nghia
abandonment,noun,withdrawing support or help despite allegiance or responsibility,sự từ bỏ / bỏ rơi trách nhiệm hoặc sự hỗ trợ,[abandon]-ment,root,abandon,/əˈbændənmənt/,real,retranslated,abandon,-ment,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],abandonments,,,,,,,,,,
abase,verb,to cause to feel shame,làm cho cảm thấy xấu hổ,a-[base],root,base,/ɐbˈeɪs/,real,retranslated,a-,base,,,,,Prefix + Root,2,Đã có sẵn trong MorphLink (Word),có,có,,,,,,abases,abasing,abased,abased,,,
abasement,noun,depriving one of self-esteem,tước đi lòng tự trọng của một người,a-[base]-ment,root,base,/ɐbˈeɪsmənt/,real,retranslated,a-,base,-ment,,,,Prefix + Root + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,N[C],abasements,,,,,,,,,,
ability,noun,the fact that somebody/something is able to do something,thực tế là ai đó/cái gì đó có thể làm điều gì đó,[able]-ity,root,able,/əˈbɪɫəˌti/,real,retranslated,able,-ity,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],abilities,,,,,,,,,,
abler,adjective,more able; having greater skill or capacity to do something (comparative of 'able'),"có khả năng hơn, giỏi hơn (dạng so sánh hơn của 'able')",[able]-er,root,able,/ˈeɪbəɫɝ/,real,audit-rewritten,able,-er,,,,,Root + Suffix,2,Đã có sẵn trong app (không qua pipeline affix_formation),có,có,N[C],ablers,,,"Đây là dạng so sánh hơn của tính từ gốc, không có dạng so sánh hơn/nhất riêng",,,,,,,
ablest,adjective,most able; having the greatest skill or capacity to do something (superlative of 'able'),"có khả năng nhất, giỏi nhất (dạng so sánh nhất của 'able')",[able]-est,root,able,/ˈeɪbəɫst/,real,audit-rewritten,able,-est,,,,,Root + Suffix,2,Đã có sẵn trong app (không qua pipeline affix_formation),có,có,,,more ablest,most ablest,,,,,,,,
ably,adverb,with competence,có năng lực,[able]-y,root,able,/ˈeɪbɫi/,real,retranslated,able,-y,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,,,,,,,,,,
abnormal,adjective,much greater than the normal,lớn hơn nhiều so với bình thường,ab-[norm]-al,root,norm,/æbˈnɔɹməɫ/,real,retranslated,ab-,norm,-al,,,,Prefix + Root + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,,,more abnormal,most abnormal,,,,,,,,
abnormality,noun,behavior that breaches the rule or etiquette or custom or morality,hành vi vi phạm quy tắc hoặc nghi thức hoặc phong tục hoặc đạo đức,ab-[norm]-al-ity,root,norm,/ˌæbnɔɹˈmæɫəti/,real,retranslated,ab-,norm,-al,-ity,,,Prefix + Root + Suffix + Suffix,4,Đã có sẵn trong MorphLink (Word),có,có,N[C],abnormalities,,,,,,,,,,
abnormally,adverb,in an abnormal manner,một cách bất thường,ab-[norm]-al-ly,root,norm,/æbˈnɔɹməɫi/,real,retranslated,ab-,norm,-al,-ly,,,Prefix + Root + Suffix + Suffix,4,Đã có sẵn trong MorphLink (Word),có,có,,,,,,,,,,,,
