affix,meaning_en,meaning_vi,so_tu_dung,vi_du
-a,"[VARIANT] Latin/Greek loanword ending, plural or feminine noun marker","[BIẾN THỂ] đuôi từ mượn Latin/Hy Lạp, số nhiều hoặc giống cái",9,"breathalyse, breathalyser, fantasia, helluva, kinda, momenta"
-able,capable of being (adjective),có thể được (tính từ),498,"acceptable, acceptably, acceptability, unacceptable, accessible, accessibility"
-acy,"state, quality, condition (noun)","trạng thái, tính chất (danh từ)",7,"captaincy, indeterminacy, fallacy, legacy, normalcy, primacy"
-ade,"action, product of an action (noun)","hành động, kết quả; đồ uống ngọt (danh từ, VD blockade, lemonade)",4,"blockade, escapade, lemonade, orangeade"
-ae,[VARIANT] Latin plural ending (VD: personae),[BIẾN THỂ] đuôi số nhiều Latin (VD personae),1,personae
-age,"action, result, collection (noun)","hành động, kết quả, tập hợp (danh từ)",48,"acreage, anchorage, baggage, bandage, blockage, bondage"
-aire,"person who has (noun, VD: millionaire)","người có (danh từ, VD millionaire)",6,"doctrinaire, millionaire, multimillionaire, commissionaire, questionnaire, solitaire"
-al,relating to (adjective); action (noun),thuộc về (tính từ); hành động (danh từ),520,"accentual, accidental, accidentally, actual, actually, actuarial"
-ale,"sale, gathering (noun, French, VD: musicale)","buổi tiệc, tụ họp (danh từ, Pháp, VD musicale)",2,"musicale, internationale"
-ally,adverb form of -ic adjectives (VD: automatically),dạng trạng từ của tính từ -ic (VD automatically),1,epicyclically
-ance,"state, quality, action (noun)","trạng thái, tính chất, hành động (danh từ)",105,"acceptance, accountancy, admittance, allowance, alliance, misalliance"
-ancy,"state, quality (noun)","trạng thái, tính chất (danh từ)",12,"consultancy, fluency, occupancy, potency, presidency, conservancy"
-ant,person/thing that does; having quality (noun/adjective),người/vật thực hiện; có tính chất (danh từ/tính từ),120,"accountant, reactants, assistant, attendant, claimant, combatant"
-ar,"relating to, like (adjective)",thuộc về (tính từ); người (danh từ),50,"angular, angularity, triangular, quadrangular, beggar, beggarly"
-ard,"one who does something, often excessively (noun)","người làm việc gì quá mức (danh từ, VD drunkard)",3,"drunkard, dullard, spaniard"
-aria,"place for, collection (noun, Latin, VD: planetaria)","nơi chốn, tập hợp (danh từ, Latin, VD planetaria)",2,"honoraria, planetaria"
-astic,"relating to, characterized by (adjective)","thuộc về, đặc trưng bởi (tính từ, VD scholastic)",3,"scholastic, scholasticism, scholastically"
-ate,to make/become (verb); having (adjective),làm cho/trở thành (động từ); có (tính từ),200,"accentuate, accentuation, actuate, activate, activation, inactivate"
-ated,"having, characterized by (adjective)","[BIẾN THỂ] dạng phân từ quá khứ của -ate (tính từ, VD opinionated)",1,opinionated
-atoire,place for (borrowed from French),"nơi chốn (danh từ, Pháp, VD conservatoire)",1,conservatoire
-bie,informal noun-forming suffix (e.g. newbie),"nhỏ, thân mật (danh từ giảm nhẹ, VD freebie)",1,freebie
