root_word,kieu_ket_hop,cong_thuc,vi_du_tu_moi,so_luong_vi_du
abandon,Root + Suffix,abandon + suffix,abandonment,1
able,Prefix + Root,prefix + able,"disable, enable, unable",3
able,Root + Suffix,able + suffix,"ability, abler, ablest, ably",4
able,Prefix + Root + Suffix,prefix + able + suffix,"disability, disablement, inability",3
abolish,Root + Suffix,abolish + suffix,"abolition, abolitionist",2
above,Word + Word,above + board,"aboveboard, aboveground",2
absent,Word + Word,absent + mind,absentmindedly,1
absent,Root + Suffix,absent + suffix,"absentee, absenteeism, absently",3
absolute,Root + Suffix,absolute + suffix,"absolutely, absoluteness, absolution, absolutism",4
absurd,Root + Suffix,absurd + suffix,"absurdity, absurdly",2
abuse,Prefix + Root,prefix + abuse,disabuse,1
abuse,Root + Suffix,abuse + suffix,"abusive, abusively",2
accent,Root + Suffix,accent + suffix,"accentual, accentuate, accentuation",3
accept,Root + Suffix,accept + suffix,"acceptability, acceptable, acceptably, acceptance, acceptation",5
accept,Prefix + Root + Suffix,prefix + accept + suffix,unacceptable,1
access,Root + Suffix,access + suffix,"accessibility, accessible, accession, accessors",4
access,Prefix + Root + Suffix,prefix + access + suffix,"inaccessibility, inaccessible, inaccessibly",3
accident,Root + Suffix,accident + suffix,"accidental, accidentally",2
accommodate,Root + Suffix,accommodate + suffix,accommodation,1
accomplish,Root + Suffix,accomplish + suffix,accomplishment,1
account,Root + Suffix,account + suffix,"accountability, accountable, accountably, accountancy, accountant",5
account,Prefix + Root + Suffix,prefix + account + suffix,"unaccountable, unaccountably",2
accuse,Root + Suffix,accuse + suffix,"accusation, accusative, accuser, accusingly",4
achieve,Prefix + Root,prefix + achieve,unachieved,1
achieve,Root + Suffix,achieve + suffix,"achievable, achievement",2
achieve,Prefix + Root + Suffix,prefix + achieve + suffix,"unachievable, underachievers",2
acid,Prefix + Root,prefix + acid,nonacid,1
acid,Root + Suffix,acid + suffix,"acidic, acidify, acidity",3
acre,Root + Suffix,acre + suffix,acreage,1
act,Prefix + Root,prefix + act,"enact, interact, overact, react, reenact, transact, underact",7
act,Root + Suffix,act + suffix,"action, actionable, activate, activation, active, actively, activism, activist (+10 từ khác)",18
act,Prefix + Root + Suffix,prefix + act + suffix,"deactivated, deactivation, enactment, hypoactive, inaction, inactivate, inactivation, inactive (+19 từ khác)",27
acute,Root + Suffix,acute + suffix,"acutely, acuteness",2
ad,Word + Word,ad + man,adman,1
adapt,Prefix + Root,prefix + adapt,readapting,1
adapt,Root + Suffix,adapt + suffix,"adaptability, adaptable, adaptation, adapter",4
adapt,Prefix + Root + Suffix,prefix + adapt + suffix,maladaptive,1
add,Root + Suffix,add + suffix,"addition, additional, additionally, additive",4
address,Prefix + Root,prefix + address,readdress,1
address,Root + Suffix,address + suffix,addressee,1
admire,Root + Suffix,admire + suffix,"admirable, admirably, admiration, admirer, admiringly",5
admit,Root + Suffix,admit + suffix,"admissibility, admissible, admission, admittance, admittedly",5
admit,Prefix + Root + Suffix,prefix + admit + suffix,"inadmissibility, inadmissible, inadmissibly",3
adopt,Prefix + Root,prefix + adopt,unadopted,1
adopt,Root + Suffix,adopt + suffix,"adoption, adoptive",2
adult,Root + Suffix,adult + suffix,adulthood,1
advance,Root + Suffix,advance + suffix,advancement,1
advantage,Prefix + Root,prefix + advantage,disadvantage,1
advantage,Root + Suffix,advantage + suffix,"advantageous, advantageously",2
advantage,Prefix + Root + Suffix,prefix + advantage + suffix,"disadvantageous, disadvantageously",2
