thanh_phan,trang_thai,so_lan_xuat_hien,meaning_en,meaning_vi,vi_du_tu,nguon
ac,Mới - chưa có ảnh,6+,"to, toward (assimilated form of ad, Latin)","đến, hướng về (biến thể đồng hóa của ad, La Tinh)","accelerate, accessibility, accredit, accumulation, accustom, acknowledge",missing_words_analyzed
ad,Mới - chưa có ảnh,6+,"to, toward (Latin)","đến, hướng về (La Tinh)","adaptability, adjective, admiration, admission, adolescent, adrenaline",missing_words_analyzed
aero,Mới - chưa có ảnh,4,"air, aviation (Greek)","không khí, hàng không (Hy Lạp)","aerodynamic, aerodynamically, aerodynamics, aeronautics",missing_words_analyzed
af,Mới - chưa có ảnh,2,"to, toward (assimilated form of ad, Latin)","đến, hướng về (biến thể đồng hóa của ad, La Tinh)","affection, affirm",missing_words_analyzed
afore,Mới - chưa có ảnh,2,"before, in front","trước, ở phía trước","aforementioned, aforesaid",missing_words_analyzed
ag,Mới - chưa có ảnh,3,"to, toward (assimilated form of ad, Latin)","đến, hướng về (biến thể đồng hóa của ad, La Tinh)","aggravate, aggregate, aggression",missing_words_analyzed
agri,Mới - chưa có ảnh,2,"field, farming (Latin)","đồng ruộng, nông nghiệp (La Tinh)","agriculturalist, agriculture",missing_words_analyzed
all,Mới - chưa có ảnh,1,"all, completely","tất cả, hoàn toàn",almighty,missing_words_analyzed
amphi,Mới - chưa có ảnh,1,"both, on both sides (Greek)","cả hai, hai phía (Hy Lạp)",amphibian,missing_words_analyzed
an,Mới - chưa có ảnh,4,"not, without (Greek)","không, thiếu (Hy Lạp)","anaesthesia, anonymity, anonymous, another",missing_words_analyzed
ana,Mới - chưa có ảnh,2,"up, back, again (Greek)","lên, ngược lại, lại lần nữa (Hy Lạp)","analogue, anatomy",missing_words_analyzed
ant,Mới - chưa có ảnh,2,"opposite, against (variant of anti, Greek)","đối lập, chống lại (biến thể của anti, Hy Lạp)","antarctic, antarctica",missing_words_analyzed
anthropo,Mới - chưa có ảnh,1,"human, mankind (Greek)","con người, nhân loại (Hy Lạp)",anthropologist,missing_words_analyzed
any,Mới - chưa có ảnh,2,"any, at all","bất kỳ, bất cứ","anything, anywhere",missing_words_analyzed
ap,Mới - chưa có ảnh,6+,"to, toward (assimilated form of ad, Latin)","đến, hướng về (biến thể đồng hóa của ad, La Tinh)","apparent, applause, appositive, appositives, appropriate, approximately",missing_words_analyzed
archaeo,Mới - chưa có ảnh,1,"ancient, old (Greek)","cổ, xưa (Hy Lạp)",archaeological,missing_words_analyzed
arte,Mới - chưa có ảnh,1,"skill, craft (Latin)","kỹ năng, nghề khéo (La Tinh)",artefact,missing_words_analyzed
arti,Mới - chưa có ảnh,1,"skill, craft (Latin)","kỹ năng, nghề khéo (La Tinh)",artifact,missing_words_analyzed
as,Mới - chưa có ảnh,6+,"to, toward (assimilated form of ad, Latin)","đến, hướng về (biến thể đồng hóa của ad, La Tinh)","ascertain, assault, assemble, assimilate, assortment, assurance",missing_words_analyzed
at,Mới - chưa có ảnh,4,"to, toward (assimilated form of ad, Latin)","đến, hướng về (biến thể đồng hóa của ad, La Tinh)","attempt, attentive, attrition, attune",missing_words_analyzed
bene,Mới - chưa có ảnh,1,"good, well (Latin)","tốt, tốt đẹp (La Tinh)",beneficiary,missing_words_analyzed
best,Mới - chưa có ảnh,1,"best, most","tốt nhất, nhất",bestseller,missing_words_analyzed
