thanh_phan,trang_thai,so_lan_xuat_hien,meaning_en,meaning_vi,vi_du_tu,nguon
academ,Mới - chưa có ảnh,1,"school, academy (Greek Akademeia)","trường học, học viện (Hy Lạp)",academically,missing_words_analyzed
acerb,Mới - chưa có ảnh,1,"bitter, sharp (Latin acerbus)","cay đắng, gay gắt (La Tinh)",exacerbate,missing_words_analyzed
actuar,Mới - chưa có ảnh,1,"to register, act as clerk (Latin actuarius)","ghi chép, tính toán (La Tinh)",actuarial,missing_words_analyzed
adolesc,Mới - chưa có ảnh,1,to grow up (Latin adolescere),"lớn lên, trưởng thành (La Tinh)",adolescence,missing_words_analyzed
aesthesia,Mới - chưa có ảnh,1,"sensation, feeling (Greek aisthesis)",cảm giác (Hy Lạp),anaesthesia,missing_words_analyzed
aggress,Mới - chưa có ảnh,1,"to attack, approach (Latin aggredi)","tấn công, tiến đến (La Tinh)",aggressive,missing_words_analyzed
alg,Mới - chưa có ảnh,1,pain (Greek algos),đau đớn (Hy Lạp),nostalgia,missing_words_analyzed
alp,Mới - chưa có ảnh,1,"a high mountain, especially one in the Alps",núi cao (đặc biệt ở dãy Alps),alp,missing_words_analyzed
ampl,Mới - chưa có ảnh,1,"large, ample (Latin amplus)","lớn, rộng (La Tinh)",amplifier,missing_words_analyzed
ancestr,Mới - chưa có ảnh,1,one who goes before (Latin antecessor),"người đi trước, tổ tiên (La Tinh)",ancestral,missing_words_analyzed
anim,Mới - chưa có ảnh,1,"soul, life, breath (Latin anima)","linh hồn, sự sống (La Tinh)",animate,missing_words_analyzed
aqui,Mới - chưa có ảnh,1,water (Latin aqua),nước (La Tinh),aquifer,missing_words_analyzed
aristo,Mới - chưa có ảnh,1,best (Greek aristos),tốt nhất (Hy Lạp),aristocrat,missing_words_analyzed
arthr,Mới - chưa có ảnh,1,joint (Greek arthron),khớp (Hy Lạp),arthritis,missing_words_analyzed
aud,Mới - chưa có ảnh,2,to hear (Latin audire),nghe (La Tinh),"audible, auditor",missing_words_analyzed
aut,Mới - chưa có ảnh,1,self (Greek autos),"tự, bản thân (Hy Lạp)",autism,missing_words_analyzed
avi,Mới - chưa có ảnh,1,bird (Latin avis),chim (La Tinh),aviation,missing_words_analyzed
bacteri(um),Mới - chưa có ảnh,1,"small rod, staff (Greek bakterion)","que nhỏ, vi khuẩn (Hy Lạp)",bacterial,missing_words_analyzed
bio,Mới - chưa có ảnh,1,life (Greek bios),sự sống (Hy Lạp),amphibian,missing_words_analyzed
biotic,Mới - chưa có ảnh,2,relating to life (Greek bios),liên quan đến sự sống (Hy Lạp),"antibiotic, symbiotic",missing_words_analyzed
bol,Mới - chưa có ảnh,1,to throw (Greek ballein),"ném, quăng (Hy Lạp)",metabolic,missing_words_analyzed
botan,Mới - chưa có ảnh,2,plant (Greek botane),"thực vật, cây cỏ (Hy Lạp)","botanical, botanist",missing_words_analyzed
brevi,Mới - chưa có ảnh,1,short (Latin brevis),ngắn (La Tinh),abbreviation,missing_words_analyzed
brib(e),Mới - chưa có ảnh,1,"to bribe, corrupt (Old French bribe)",hối lộ (Pháp cổ),bribery,missing_words_analyzed
bronch,Mới - chưa có ảnh,1,windpipe (Greek bronkhos),khí quản (Hy Lạp),bronchitis,missing_words_analyzed
burgl,Mới - chưa có ảnh,1,"to break into a house, steal (Medieval Latin burgare)",đột nhập trộm cắp (La Tinh trung cổ),burglar,missing_words_analyzed
calcul,Mới - chưa có ảnh,1,"pebble, to count (Latin calculus)","hòn sỏi, tính toán (La Tinh)",calculate,missing_words_analyzed
calibr,Mới - chưa có ảnh,1,"to measure, gauge (French calibre)","đo lường, hiệu chỉnh (Pháp)",calibration,missing_words_analyzed
calibre,Mới - chưa có ảnh,1,"measure, gauge (French calibre)","đo lường, cỡ (Pháp)",calibrate,missing_words_analyzed
carcino,Mới - chưa có ảnh,1,"crab, cancer (Greek karkinos)","cua, ung thư (Hy Lạp)",carcinogen,missing_words_analyzed
carn,Mới - chưa có ảnh,1,"flesh (Latin caro, carnis)","thịt, xác thịt (La Tinh)",incarnate,missing_words_analyzed
caut,Mới - chưa có ảnh,1,"to beware, take care (Latin cavere)","cẩn thận, đề phòng (La Tinh)",cautious,missing_words_analyzed
cay,Mới - chưa có ảnh,1,to fall (Latin cadere),"rơi, suy tàn (La Tinh)",decay,missing_words_analyzed
cedent,Mới - chưa có ảnh,1,"to go, yield (Latin cedere)","đi, nhường (La Tinh)",antecedent,missing_words_analyzed
ceed,Mới - chưa có ảnh,2,"to go, proceed (Latin cedere)","đi, tiến (La Tinh)","exceedingly, succeed",missing_words_analyzed
ceipt,Mới - chưa có ảnh,1,"to take, receive (Latin capere)","nhận, lấy (La Tinh)",receipt,missing_words_analyzed
ceit,Mới - chưa có ảnh,1,"to take, seize (Latin capere)","chiếm, lừa dối (La Tinh)",deceit,missing_words_analyzed
ceiv,Mới - chưa có ảnh,1,"to take, seize (Latin capere)","chiếm, lấy (La Tinh)",deceiver,missing_words_analyzed
ceive,Mới - chưa có ảnh,2,"to take, seize (Latin capere)","chiếm, lấy, nhận (La Tinh)","deceive, perceive",missing_words_analyzed
celer,Mới - chưa có ảnh,1,"swift, quick (Latin celer)","nhanh, mau lẹ (La Tinh)",accelerate,missing_words_analyzed
cellul,Mới - chưa có ảnh,1,"small room, cell (Latin cella)","tế bào, phòng nhỏ (La Tinh)",cellulose,missing_words_analyzed
cend,Mới - chưa có ảnh,1,"to burn, kindle (Latin incendere)","đốt cháy, nhóm lửa (La Tinh)",incendiary,missing_words_analyzed
centr,Mới - chưa có ảnh,1,center (Latin/Greek centrum),trung tâm (La Tinh/Hy Lạp),egocentric,missing_words_analyzed
