loai,thanh_phan,trang_thai,so_lan_xuat_hien,meaning_en,meaning_vi,vi_du_tu,nguon,ly_do_loai
Root,Africa,Mới - chưa có ảnh,2,,,"africa, african",missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Alaska,Mới - chưa có ảnh,1,,,alaska,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Alison,Mới - chưa có ảnh,1,,,alison,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Amenhotep,Mới - chưa có ảnh,1,,,amenhotep,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,America,Mới - chưa có ảnh,1,,,america,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Angkor,Mới - chưa có ảnh,1,,,angkor,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Anthony,Mới - chưa có ảnh,1,,,anthony,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,April,Mới - chưa có ảnh,1,,,april,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Arabic,Mới - chưa có ảnh,1,,,arabic,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Arizona,Mới - chưa có ảnh,1,,,arizona,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Asia,Mới - chưa có ảnh,1,,,asian,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Atlanta,Mới - chưa có ảnh,1,,,atlanta,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Aus,Mới - chưa có ảnh,1,,,aussie,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Australia,Mới - chưa có ảnh,1,,,australian,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,BMW,Mới - chưa có ảnh,1,,,bmw,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Bangladesh,Mới - chưa có ảnh,1,,,bangladesh,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Barnard,Mới - chưa có ảnh,1,,,barnard,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Beethoven,Mới - chưa có ảnh,1,,,beethoven,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Bengal,Mới - chưa có ảnh,1,,,bengal,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Benin,Mới - chưa có ảnh,1,,,benin,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Brit,Mới - chưa có ảnh,1,,,british,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Britain,Mới - chưa có ảnh,1,,,britain,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Cairo,Mới - chưa có ảnh,1,,,cairo,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Calais,Mới - chưa có ảnh,1,,,calais,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Calgary,Mới - chưa có ảnh,1,,,calgary,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Cambridge,Mới - chưa có ảnh,1,,,cambridge,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Canada,Mới - chưa có ảnh,1,,,canada,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Canberra,Mới - chưa có ảnh,1,,,canberra,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Celsius,Mới - chưa có ảnh,1,,,celsius,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Christ,Mới - chưa có ảnh,1,,,christian,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Christina,Mới - chưa có ảnh,1,,,christina,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Chrysler,Mới - chưa có ảnh,1,,,chrysler,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Confucius,Mới - chưa có ảnh,1,,,confucian,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Cornell,Mới - chưa có ảnh,1,,,cornell,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Crete,Mới - chưa có ảnh,1,,,crete,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Cullen,Mới - chưa có ảnh,1,,,cullen,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Cyprus,Mới - chưa có ảnh,1,,,cyprus,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Daimler,Mới - chưa có ảnh,1,,,daimler,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Darrow,Mới - chưa có ảnh,1,,,darrow,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,DiCaprio,Mới - chưa có ảnh,1,,,dicaprio,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Diana,Mới - chưa có ảnh,1,,,diana,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Dion,Mới - chưa có ảnh,1,,,dion,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
Root,Disney,Mới - chưa có ảnh,1,,,disney,missing_words_analyzed,viết hoa (tên riêng/viết tắt/quốc tịch)
