word_nguyen_mau,frequency,cac_dang_gap,example_files
paraphrase,1864,paraphrased; paraphrases; paraphrasing,✍️ Writing/✍️ 02 - Quoting and citing sources.md; ✍️ Writing/✍️ 04 - Introduction and conclusion.md; ✍️ Writing/✍️ 08 - Persuasive essay.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 251 - Cricket National Sports Wildfire.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 269 - Teachers Parents Roots Weather.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 405 - Sports Sponsorship Pollination.md; 🎯 IELTS/📖 Reading/📖 01 - Tổng hợp.md; 📖 Reading/📗 NNA/📝 02 - Science and Investigation.md
academic,944,academics,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 831 - Theory or Practice.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 985 - Trainer the Robots Are Coming.md; 📖 Reading/📗 NNA/📝 02 - Science and Investigation.md; 📖 Reading/📗 NNA/📝 04 - Danger Zones.md; 📖 Reading/📗 NNA/📝 08 - Medical Innovations.md
english,935,,📖 Reading/! 00 📌 📖 Index - Reading.md; 📖 Reading/📖 06 - Predictions.md; 📖 Reading/📘 VB2/! 00 📌 📘 Index - VB2.md
something,757,,📖 Reading/📘 VB2/📝 02 - Mother nature.md; 📖 Reading/📘 VB2/📝 07 - Inspired to protect.md; 📖 Reading/📘 VB2/📝 10 - Emotions and personality.md
rather,595,,"📖 Reading/📗 NNA/📝 05 - The Travel Business.md; 📖 Reading/📘 VB2/📝 05 - Making a living, making a difference.md; 📖 Reading/📘 VB2/📝 06 - Design with purpose.md"
concept,583,concepts,"📖 Reading/📖 02 - Referencing and cohesion.md; 📖 Reading/📖 08 - Appositives.md; 📖 Reading/📗 NNA/📝 06 - Information Design.md; 📖 Reading/📗 NNA/📝 08 - Medical Innovations.md; 📖 Reading/📘 VB2/📝 05 - Making a living, making a difference.md; 📖 Reading/📘 VB2/📝 06 - Design with purpose.md"
demo,568,,✍️ Writing/! 00 📌 ✍️ Index - Writing.md; ✍️ Writing/✍️ 06 - Comparison essay.md; ✍️ Writing/✍️ 08 - Persuasive essay.md
peel,568,,🎯 IELTS/✍️ Writing/✍️ 10 - Task 2 - Discussion.md; 🎯 IELTS/✍️ Writing/✍️ 13 - Task 2 - Two-part question.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 673 - Inspired By Mimicking Mother Nature.md
conclusion,547,conclusions,✍️ Writing/✍️ 08 - Persuasive essay.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 260 - Clothing Language Culture.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 801 - What Do Babies Know.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 984 - Trainer Walking With Dinosaurs.md; 📖 Reading/📗 NNA/📝 03 - City Solutions.md; 📖 Reading/📗 NNA/📝 05 - The Travel Business.md
study,544,studied; studies; studying,🎯 IELTS/📖 Reading/📖 05 - Sentence completion.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 665 - The Mozart Effect.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 674 - The Last March of the Emperor Penguins.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 678 - Ancient Chinese Chariots.md; 📖 Reading/📖 01 - Main and supporting ideas.md; 📖 Reading/📖 02 - Referencing and cohesion.md; 📖 Reading/📖 05 - Arguments and counterarguments.md; 📖 Reading/📗 NNA/📝 01 - Social Relationships.md; 📖 Reading/📘 VB2/📝 01 - The science of shopping.md; 📖 Reading/📘 VB2/📝 03 - On the move.md
rewrite,537,rewrites; rewriting,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 251 - Cricket National Sports Wildfire.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 266 - Retirement Extra Time.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 267 - Art Talent Garden.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 269 - Teachers Parents Roots Weather.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 398 - Job Training Funding Blade.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 405 - Sports Sponsorship Pollination.md
simply,494,,"📖 Reading/📗 NNA/📝 05 - The Travel Business.md; 📖 Reading/📗 NNA/📝 06 - Information Design.md; 📖 Reading/📘 VB2/📝 05 - Making a living, making a difference.md"
information,491,,📖 Reading/📖 05 - Arguments and counterarguments.md; 📖 Reading/📖 06 - Predictions.md; 📖 Reading/📖 08 - Appositives.md
