thanh_phan,trang_thai,so_lan_xuat_hien,meaning_en,meaning_vi,vi_du_tu,nguon
abate,Mới - chưa có ảnh,1,to become less intense or widespread,"giảm bớt, lắng dịu",abate,missing_words_analyzed
abhor,Mới - chưa có ảnh,1,to regard with disgust and hatred,"ghê tởm, căm ghét",abhor,missing_words_analyzed
abide,Mới - chưa có ảnh,1,"to accept or act in accordance with a rule, decision, or recommendation","tuân theo, chấp hành",abide,missing_words_analyzed
ability,Mới - chưa có ảnh,1,the possession of the means or skill to do something,"khả năng, năng lực",disability,missing_words_analyzed
abort,Mới - chưa có ảnh,2,"to end a process or activity before it is completed, especially because of a problem","hủy bỏ, dừng lại giữa chừng","abort, abortion",missing_words_analyzed
abrade,Mới - chưa có ảnh,1,to wear away or scrape off by friction,"mài mòn, cọ mòn",abrasion,missing_words_analyzed
abrupt,Mới - chưa có ảnh,1,"sudden and unexpected, or (of manner) brusque and curt","đột ngột, bất ngờ; cộc lốc",abrupt,missing_words_analyzed
absorb,Mới - chưa có ảnh,2,"to take in a substance gradually, or to take in information","hấp thụ, thu nhận","absorb, absorption",missing_words_analyzed
abstain,Mới - chưa có ảnh,3,"to choose not to do or have something, especially to formally decline to vote","kiêng, không tham gia; bỏ phiếu trắng","abstain, abstention, abstinence",missing_words_analyzed
abstract,Mới - chưa có ảnh,1,"a summary of the contents of a book, article, or speech",bản tóm tắt,abstract,missing_words_analyzed
abundant,Mới - chưa có ảnh,2,existing or available in large quantities; plentiful,"dồi dào, phong phú","abundant, abundantly",missing_words_analyzed
academia,Mới - chưa có ảnh,1,"the environment or community concerned with research, education, and scholarship; academic life","giới học thuật, môi trường hàn lâm",academia,missing_words_analyzed
academy,Mới - chưa có ảnh,2,"a place of study or training in a specialized field, or a secondary school, especially a private one","học viện, viện hàn lâm (trường chuyên)","academic, academy",missing_words_analyzed
accelerate,Mới - chưa có ảnh,1,to increase in speed,tăng tốc,acceleration,missing_words_analyzed
accompany,Mới - chưa có ảnh,1,to go somewhere with someone or occur together with something,"đi cùng, đồng hành; đi kèm",accompanist,missing_words_analyzed
accord,Mới - chưa có ảnh,1,"an official agreement, especially between countries","sự thỏa thuận, hiệp định",accord,missing_words_analyzed
according,Mới - chưa có ảnh,1,in a way that is consistent with or based on (used in 'according to'),"theo, dựa theo",accordingly,missing_words_analyzed
accumulate,Mới - chưa có ảnh,1,to gather or acquire an increasing amount of something over time,tích lũy,accumulate,missing_words_analyzed
accuracy,Mới - chưa có ảnh,1,the quality of being correct or precise,độ chính xác,inaccuracy,missing_words_analyzed
accurate,Mới - chưa có ảnh,4,correct and precise in all details; free from error,chính xác,"accuracy, accurate, accurately, inaccurate",missing_words_analyzed
ache,Mới - chưa có ảnh,3,a continuous or prolonged dull pain,"cơn đau âm ỉ, nhức","ache, headache, toothache",missing_words_analyzed
acknowledge,Mới - chưa có ảnh,1,to accept or admit the truth or existence of something,"thừa nhận, công nhận",unacknowledged,missing_words_analyzed
acoustic,Mới - chưa có ảnh,1,"relating to sound or the sense of hearing, especially of instruments not using electronic amplification","thuộc về âm thanh, âm học (VD: đàn guitar acoustic)",acoustic,missing_words_analyzed
acquaint,Mới - chưa có ảnh,2,to make someone aware of or familiar with something or someone,"làm cho quen biết, cho biết","acquaint, acquaintance",missing_words_analyzed
acquire,Mới - chưa có ảnh,3,"to gain or come to possess something, especially through one's own effort or ability","đạt được, thu được","acquirable, acquire, acquisitive",missing_words_analyzed
acrobat,Mới - chưa có ảnh,2,a performer who does gymnastic feats requiring skill and balance,"diễn viên nhào lộn, người biểu diễn xiếc","acrobatic, acrobatics",missing_words_analyzed
activate,Mới - chưa có ảnh,1,to make something start working,kích hoạt,activation,missing_words_analyzed
active,Mới - chưa có ảnh,4,engaging in physical movement or action; energetic,"năng động, tích cực, đang hoạt động","activate, actively, activity, inactivity",missing_words_analyzed
actual,Mới - chưa có ảnh,1,existing in fact; real,"thực tế, có thật",actually,missing_words_analyzed
addict,Mới - chưa có ảnh,2,a person unable to stop using a substance or doing something habitually,người nghiện,"addiction, addictive",missing_words_analyzed
addition,Mới - chưa có ảnh,1,the act of adding something; a thing added,"sự bổ sung, phép cộng",additionally,missing_words_analyzed
adequate,Mới - chưa có ảnh,4,satisfactory or acceptable in quality or quantity,"đầy đủ, thỏa đáng","adequately, inadequacy, inadequate, inadequately",missing_words_analyzed
adj,Mới - chưa có ảnh,1,"an abbreviation for 'adjective', used especially in dictionaries and grammar references","viết tắt của 'tính từ' (adjective), thường dùng trong từ điển",adj,missing_words_analyzed
administer,Mới - chưa có ảnh,1,to manage and be responsible for the running of something,"quản lý, điều hành",administrative,missing_words_analyzed
adv,Mới - chưa có ảnh,1,"abbreviation for 'advertisement' or 'adverb', depending on context",viết tắt của 'advertisement' (quảng cáo) hoặc 'adverb' (trạng từ) tùy ngữ cảnh,adv,missing_words_analyzed
adventure,Mới - chưa có ảnh,2,"an unusual, exciting or daring experience",cuộc phiêu lưu,"adventurer, adventurous",missing_words_analyzed
adverb,Mới - chưa có ảnh,1,"a word that modifies a verb, adjective, or other adverb",trạng từ,adverbial,missing_words_analyzed
advert,Mới - chưa có ảnh,1,"a paid announcement promoting a product, event, or service (British informal, short for 'advertisement')","quảng cáo (cách gọi tắt, tiếng Anh Anh)",advert,missing_words_analyzed
advertise,Mới - chưa có ảnh,3,"to make something known publicly, especially to promote sales",quảng cáo,"advertise, advertisement, advertiser",missing_words_analyzed
advice,Mới - chưa có ảnh,1,guidance or recommendations offered with regard to prudent future action,lời khuyên,advice,missing_words_analyzed
advocate,Mới - chưa có ảnh,1,a person who publicly supports a cause; to support publicly,"người ủng hộ, người biện hộ; ủng hộ công khai",advocacy,missing_words_analyzed
aesthetic,Mới - chưa có ảnh,1,concerned with beauty or the appreciation of beauty,"thuộc về thẩm mỹ, mang tính nghệ thuật",aesthetic,missing_words_analyzed
affair,Mới - chưa có ảnh,1,an event or a matter of concern; also a romantic or sexual relationship outside marriage,"việc, vụ việc; (nghĩa khác) quan hệ ngoại tình",affair,missing_words_analyzed
affect,Mới - chưa có ảnh,2,to have an effect on; to influence,ảnh hưởng đến,"affect, unaffected",missing_words_analyzed
affinity,Mới - chưa có ảnh,1,"a natural liking for, or attraction to, someone or something","sự yêu thích tự nhiên, sự gần gũi/thân thuộc",affinity,missing_words_analyzed
afford,Mới - chưa có ảnh,1,to have enough money or resources to do or buy something,đủ khả năng (tài chính) để làm hoặc mua gì,affordable,missing_words_analyzed
agar,Mới - chưa có ảnh,1,"a gelatinous substance obtained from red algae, used to culture microorganisms and in cooking","thạch agar (dùng nuôi cấy vi sinh, nấu ăn)",agar,missing_words_analyzed
agenda,Mới - chưa có ảnh,1,"a list of items to be discussed at a meeting, or an underlying plan or set of intentions","chương trình nghị sự, kế hoạch",agenda,missing_words_analyzed
agile,Mới - chưa có ảnh,2,able to move quickly and easily; able to think and understand quickly,"nhanh nhẹn, linh hoạt","agile, agility",missing_words_analyzed
agony,Mới - chưa có ảnh,1,extreme physical or mental suffering,"sự đau đớn tột cùng, sự thống khổ",agony,missing_words_analyzed
agriculture,Mới - chưa có ảnh,1,the science or practice of farming,nông nghiệp,agricultural,missing_words_analyzed
aha,Mới - chưa có ảnh,1,"used to express surprise, triumph, or sudden realization",à ha! (thán từ diễn tả sự ngạc nhiên hoặc nhận ra điều gì đó),aha,missing_words_analyzed
