root_word,topic,subtopic,is_polysemous
a,Ngữ pháp và hư từ,Trợ từ,False
abandon,Khái niệm trừu tượng,Hành động và xử lý,False
able,Khái niệm trừu tượng,Khả năng và cần thiết,False
abolish,Khái niệm trừu tượng,Hành động và xử lý,False
about,Ngữ pháp và hư từ,Giới từ,False
above,Ngôn ngữ hằng ngày,Giới từ và trạng từ chỉ nơi chốn,False
absent,Khái niệm trừu tượng,Tính chất khác,False
absolute,Khái niệm trừu tượng,Mức độ và so sánh,False
absurd,Khái niệm trừu tượng,Đánh giá và giá trị,False
abuse,"Pháp luật, an toàn và khẩn cấp",Tội phạm và điều tra,False
accent,Học tập và giáo dục,Học ngoại ngữ,False
accept,Khái niệm trừu tượng,Thái độ,False
access,Khái niệm trừu tượng,Khả năng và cần thiết,False
accident,Giao thông,Tai nạn và cứu hộ,False
accommodate,Du lịch và lưu trú,Khách sạn,False
accomplish,Khái niệm trừu tượng,Hành động và xử lý,False
account,Kinh doanh và tài chính,Tài khoản ngân hàng,False
accuse,"Pháp luật, an toàn và khẩn cấp",Tòa án,False
achieve,Khái niệm trừu tượng,Hành động và xử lý,False
acid,"Khoa học, công nghệ và kỹ thuật",Hóa học,False
acre,"Khoa học, công nghệ và kỹ thuật",Đo lường,False
act,"Nghệ thuật, thiết kế và văn hóa",Nghệ thuật biểu diễn,True
act,"Pháp luật, an toàn và khẩn cấp",Giấy tờ pháp lý,True
acute,Sức khỏe,Triệu chứng,False
ad,Kinh doanh và tài chính,Sản phẩm và dịch vụ,False
adapt,Khái niệm trừu tượng,Thay đổi và phát sinh,False
add,Ngôn ngữ hằng ngày,Từ chỉ số lượng,False
address,Ngôn ngữ hằng ngày,Thông tin cá nhân,False
admire,Con người,Cảm xúc,False
admit,Khái niệm trừu tượng,Hành động và xử lý,False
adopt,Con người,Gia đình,False
adult,Con người,Tuổi tác và các giai đoạn cuộc đời,False
advance,Khái niệm trừu tượng,Thay đổi và phát sinh,False
advantage,Khái niệm trừu tượng,Đánh giá và giá trị,False
adverse,Khái niệm trừu tượng,Đánh giá và giá trị,False
advise,Khái niệm trừu tượng,Quan hệ và ảnh hưởng,False
afraid,Con người,Cảm xúc,False
after,Khái niệm trừu tượng,Thời gian và thứ tự,False
age,Con người,Tuổi tác và các giai đoạn cuộc đời,False
agent,Nghề nghiệp và công việc,Thông tin nghề nghiệp,False
ago,Khái niệm trừu tượng,Thời gian và thứ tự,False
agree,Khái niệm trừu tượng,Thái độ,False
aid,"Pháp luật, an toàn và khẩn cấp",Cứu hộ,False
aim,Khái niệm trừu tượng,Nguyên nhân và mục đích,False
