loai,thanh_phan,trang_thai,so_lan_xuat_hien,meaning_en,meaning_vi,vi_du_tu,nguon
Root,-ing,Mới - chưa có ảnh,1,,,ing,missing_words_analyzed
Root,Africa,Mới - chưa có ảnh,2,,,"africa, african",missing_words_analyzed
Root,Alaska,Mới - chưa có ảnh,1,,,alaska,missing_words_analyzed
Root,Alison,Mới - chưa có ảnh,1,,,alison,missing_words_analyzed
Root,Amenhotep,Mới - chưa có ảnh,1,,,amenhotep,missing_words_analyzed
Root,America,Mới - chưa có ảnh,1,,,america,missing_words_analyzed
Root,Angkor,Mới - chưa có ảnh,1,,,angkor,missing_words_analyzed
Root,Anthony,Mới - chưa có ảnh,1,,,anthony,missing_words_analyzed
Root,April,Mới - chưa có ảnh,1,,,april,missing_words_analyzed
Root,Arabic,Mới - chưa có ảnh,1,,,arabic,missing_words_analyzed
Root,Arizona,Mới - chưa có ảnh,1,,,arizona,missing_words_analyzed
Root,Asia,Mới - chưa có ảnh,1,,,asian,missing_words_analyzed
Root,Atlanta,Mới - chưa có ảnh,1,,,atlanta,missing_words_analyzed
Root,Aus,Mới - chưa có ảnh,1,,,aussie,missing_words_analyzed
Root,Australia,Mới - chưa có ảnh,1,,,australian,missing_words_analyzed
Root,BMW,Mới - chưa có ảnh,1,,,bmw,missing_words_analyzed
Root,Bangladesh,Mới - chưa có ảnh,1,,,bangladesh,missing_words_analyzed
Root,Barnard,Mới - chưa có ảnh,1,,,barnard,missing_words_analyzed
Root,Beethoven,Mới - chưa có ảnh,1,,,beethoven,missing_words_analyzed
Root,Bengal,Mới - chưa có ảnh,1,,,bengal,missing_words_analyzed
Root,Benin,Mới - chưa có ảnh,1,,,benin,missing_words_analyzed
Root,Brit,Mới - chưa có ảnh,1,,,british,missing_words_analyzed
Root,Britain,Mới - chưa có ảnh,1,,,britain,missing_words_analyzed
Root,Cairo,Mới - chưa có ảnh,1,,,cairo,missing_words_analyzed
Root,Calais,Mới - chưa có ảnh,1,,,calais,missing_words_analyzed
Root,Calgary,Mới - chưa có ảnh,1,,,calgary,missing_words_analyzed
Root,Cambridge,Mới - chưa có ảnh,1,,,cambridge,missing_words_analyzed
Root,Canada,Mới - chưa có ảnh,1,,,canada,missing_words_analyzed
Root,Canberra,Mới - chưa có ảnh,1,,,canberra,missing_words_analyzed
Root,Celsius,Mới - chưa có ảnh,1,,,celsius,missing_words_analyzed
Root,Christ,Mới - chưa có ảnh,1,,,christian,missing_words_analyzed
Root,Christina,Mới - chưa có ảnh,1,,,christina,missing_words_analyzed
Root,Chrysler,Mới - chưa có ảnh,1,,,chrysler,missing_words_analyzed
Root,Confucius,Mới - chưa có ảnh,1,,,confucian,missing_words_analyzed
Root,Cornell,Mới - chưa có ảnh,1,,,cornell,missing_words_analyzed
Root,Crete,Mới - chưa có ảnh,1,,,crete,missing_words_analyzed
Root,Cullen,Mới - chưa có ảnh,1,,,cullen,missing_words_analyzed
Root,Cyprus,Mới - chưa có ảnh,1,,,cyprus,missing_words_analyzed
Root,Daimler,Mới - chưa có ảnh,1,,,daimler,missing_words_analyzed
Root,Darrow,Mới - chưa có ảnh,1,,,darrow,missing_words_analyzed
Root,DiCaprio,Mới - chưa có ảnh,1,,,dicaprio,missing_words_analyzed
Root,Diana,Mới - chưa có ảnh,1,,,diana,missing_words_analyzed
Root,Dion,Mới - chưa có ảnh,1,,,dion,missing_words_analyzed
Root,Disney,Mới - chưa có ảnh,1,,,disney,missing_words_analyzed
Root,Dover,Mới - chưa có ảnh,1,,,dover,missing_words_analyzed
Root,Dutch,Mới - chưa có ảnh,1,,,dutchman,missing_words_analyzed
Root,EEG,Mới - chưa có ảnh,1,,,eeg,missing_words_analyzed
Root,Edinburgh,Mới - chưa có ảnh,1,,,edinburgh,missing_words_analyzed
Root,Egypt,Mới - chưa có ảnh,1,,,egyptian,missing_words_analyzed
Root,Europe,Mới - chưa có ảnh,1,,,european,missing_words_analyzed
Root,Flynn,Mới - chưa có ảnh,1,,,flynn,missing_words_analyzed
Root,France,Mới - chưa có ảnh,1,,,france,missing_words_analyzed
Root,French,Mới - chưa có ảnh,1,,,french,missing_words_analyzed
Root,Germany,Mới - chưa có ảnh,1,,,germany,missing_words_analyzed
Root,Goodall,Mới - chưa có ảnh,1,,,goodall,missing_words_analyzed
Root,Greek,Mới - chưa có ảnh,1,,,greek,missing_words_analyzed
Root,Han,Mới - chưa có ảnh,1,,,han,missing_words_analyzed
Root,Hawaii,Mới - chưa có ảnh,1,,,hawaii,missing_words_analyzed
Root,Hebrew,Mới - chưa có ảnh,1,,,hebrew,missing_words_analyzed
Root,IPA,Mới - chưa có ảnh,1,,,ipa,missing_words_analyzed
Root,India,Mới - chưa có ảnh,1,,,indian,missing_words_analyzed
Root,Indonesia,Mới - chưa có ảnh,1,,,indonesia,missing_words_analyzed
Root,Ire,Mới - chưa có ảnh,1,,,irish,missing_words_analyzed
Root,Jackson,Mới - chưa có ảnh,1,,,jackson,missing_words_analyzed
Root,January,Mới - chưa có ảnh,1,,,january,missing_words_analyzed
Root,Japan,Mới - chưa có ảnh,2,,,"japan, japanese",missing_words_analyzed
Root,Jefferson,Mới - chưa có ảnh,1,,,jefferson,missing_words_analyzed
Root,Jennifer,Mới - chưa có ảnh,1,,,jennifer,missing_words_analyzed
Root,June,Mới - chưa có ảnh,1,,,june,missing_words_analyzed
Root,KIA,Mới - chưa có ảnh,1,,,kia,missing_words_analyzed
Root,Kazakhstan,Mới - chưa có ảnh,1,,,kazakhstan,missing_words_analyzed
Root,Kim,Mới - chưa có ảnh,1,,,kim,missing_words_analyzed
Root,Langmuir,Mới - chưa có ảnh,1,,,langmuir,missing_words_analyzed
Root,Leo,Mới - chưa có ảnh,1,,,leo,missing_words_analyzed
Root,Leslie,Mới - chưa có ảnh,1,,,leslie,missing_words_analyzed
Root,Lewis,Mới - chưa có ảnh,1,,,lewis,missing_words_analyzed
Root,Linton,Mới - chưa có ảnh,1,,,linton,missing_words_analyzed
Root,London,Mới - chưa có ảnh,1,,,london,missing_words_analyzed
Root,Louis,Mới - chưa có ảnh,1,,,louis,missing_words_analyzed
Root,Louisa,Mới - chưa có ảnh,1,,,louisa,missing_words_analyzed
Root,Malaysia,Mới - chưa có ảnh,1,,,malaysia,missing_words_analyzed
Root,Manchester,Mới - chưa có ảnh,1,,,manchester,missing_words_analyzed
Root,Maori,Mới - chưa có ảnh,1,,,maori,missing_words_analyzed
Root,Massachusetts,Mới - chưa có ảnh,1,,,massachusetts,missing_words_analyzed
Root,Memphis,Mới - chưa có ảnh,1,,,memphis,missing_words_analyzed
Root,Merton,Mới - chưa có ảnh,1,,,merton,missing_words_analyzed
Root,Mexico,Mới - chưa có ảnh,1,,,mexico,missing_words_analyzed
Root,Michael,Mới - chưa có ảnh,1,,,michael,missing_words_analyzed
Root,Monterey,Mới - chưa có ảnh,1,,,monterey,missing_words_analyzed
Root,Montgomery,Mới - chưa có ảnh,1,,,montgomery,missing_words_analyzed
Root,Morocco,Mới - chưa có ảnh,1,,,morocco,missing_words_analyzed
Root,Morse,Mới - chưa có ảnh,1,,,morse,missing_words_analyzed
Root,Mr,Mới - chưa có ảnh,1,,,mr,missing_words_analyzed
Root,Mussolini,Mới - chưa có ảnh,1,,,mussolini,missing_words_analyzed
Root,Myanmar,Mới - chưa có ảnh,1,,,myanmar,missing_words_analyzed
Root,NASA,Mới - chưa có ảnh,1,,,nasa,missing_words_analyzed
Root,Nepal,Mới - chưa có ảnh,2,,,"nepal, nepali",missing_words_analyzed
Root,Netherlands,Mới - chưa có ảnh,1,,,netherlands,missing_words_analyzed
Root,Newton,Mới - chưa có ảnh,1,,,newton,missing_words_analyzed
Root,Nigeria,Mới - chưa có ảnh,1,,,nigeria,missing_words_analyzed
Root,Norman,Mới - chưa có ảnh,1,,,norman,missing_words_analyzed
Root,October,Mới - chưa có ảnh,1,,,october,missing_words_analyzed
Root,Olympic,Mới - chưa có ảnh,1,,,olympic,missing_words_analyzed
Root,Oxford,Mới - chưa có ảnh,1,,,oxford,missing_words_analyzed
Root,PEI,Mới - chưa có ảnh,1,,,pei,missing_words_analyzed
Root,Pakistan,Mới - chưa có ảnh,1,,,pakistan,missing_words_analyzed
Root,Paraguay,Mới - chưa có ảnh,1,,,paraguay,missing_words_analyzed
Root,Paris,Mới - chưa có ảnh,1,,,paris,missing_words_analyzed
Root,Paul,Mới - chưa có ảnh,1,,,paul,missing_words_analyzed
Root,Pennsylvania,Mới - chưa có ảnh,1,,,pennsylvania,missing_words_analyzed
Root,Peru,Mới - chưa có ảnh,2,,,"peru, peruvian",missing_words_analyzed
Root,PhD,Mới - chưa có ảnh,1,,,phd,missing_words_analyzed
Root,Philip,Mới - chưa có ảnh,1,,,philip,missing_words_analyzed
Root,Philippine,Mới - chưa có ảnh,1,,,philippine,missing_words_analyzed
Root,Pythagoras,Mới - chưa có ảnh,1,,,pythagorean,missing_words_analyzed
Root,Qatar,Mới - chưa có ảnh,1,,,qatar,missing_words_analyzed
Root,Rachel,Mới - chưa có ảnh,1,,,rachel,missing_words_analyzed
Root,Rayleigh,Mới - chưa có ảnh,1,,,rayleigh,missing_words_analyzed
Root,Reynolds,Mới - chưa có ảnh,1,,,reynolds,missing_words_analyzed
Root,Rita,Mới - chưa có ảnh,1,,,rita,missing_words_analyzed
Root,Robert,Mới - chưa có ảnh,1,,,robert,missing_words_analyzed
Root,Rockefeller,Mới - chưa có ảnh,1,,,rockefeller,missing_words_analyzed
Root,Rome,Mới - chưa có ảnh,1,,,rome,missing_words_analyzed
Root,Russia,Mới - chưa có ảnh,2,,,"russia, russian",missing_words_analyzed
Root,Sahara,Mới - chưa có ảnh,1,,,sahara,missing_words_analyzed
Root,Salvador,Mới - chưa có ảnh,1,,,salvador,missing_words_analyzed
Root,Samsung,Mới - chưa có ảnh,1,,,samsung,missing_words_analyzed
Root,Samuel,Mới - chưa có ảnh,1,,,samuel,missing_words_analyzed
Root,San,Mới - chưa có ảnh,1,,,san,missing_words_analyzed
Root,Sax,Mới - chưa có ảnh,1,,,saxophone,missing_words_analyzed
Root,Scandinavia,Mới - chưa có ảnh,1,,,scandinavian,missing_words_analyzed
Root,Scott,Mới - chưa có ảnh,1,,,scott,missing_words_analyzed
Root,Senegal,Mới - chưa có ảnh,1,,,senegal,missing_words_analyzed
Root,Shelton,Mới - chưa có ảnh,1,,,shelton,missing_words_analyzed
Root,Skype,Mới - chưa có ảnh,1,,,skype,missing_words_analyzed
Root,Sony,Mới - chưa có ảnh,1,,,sony,missing_words_analyzed
Root,Spain,Mới - chưa có ảnh,1,,,spanish,missing_words_analyzed
Root,Stephanie,Mới - chưa có ảnh,1,,,stephanie,missing_words_analyzed
