word,structure,frequency
rewrite,re-[write],537
important,im-[port]-ant,410
research,re-[search],401
government,[govern]-ment,391
original,[origin]-al,376
passage,[pass]-age,361
education,[educate]-ion,331
offer,[of]-er,306
university,uni-[verse]-ity,272
exactly,[exact]-ly,271
disagree,dis-[agree],262
natural,[nature]-al,252
teacher,[teach]-er,246
computer,[compute]-er,243
development,[develop]-ment,241
genuinely,[genuine]-ly,217
pressure,[press]-ure,206
usually,[usual]-ly,203
worker,[work]-er,191
inside,in-[side],184
service,[serve]-ice,184
growth,[grow]-th,181
statement,[state]-ment,181
employee,[employ]-ee,178
personal,[person]-al,175
quietly,[quiet]-ly,175
valuable,[value]-able,173
signal,[sign]-al,172
entirely,[entire]-ly,168
really,[real]-ly,167
completely,[complete]-ly,165
encourage,en-[courage],161
firmly,[firm]-ly,155
disease,dis-[ease],151
cultural,[culture]-al,149
quickly,[quick]-ly,149
factor,[fact]-or,148
global,[globe]-al,146
rarely,[rare]-ly,144
situation,[situate]-ion,144
clearly,[clear]-ly,141
completion,[complete]-ion,141
income,in-[come],140
useful,[use]-ful,139
online,on-[line],136
manager,[manage]-er,135
precisely,[precise]-ly,135
visitor,[visit]-or,135
daily,[day]-ly,132
likely,[like]-ly,132
replace,re-[place],131
secondly,[second]-ly,131
basic,[base]-ic,130
researcher,re-[search]-er,130
outside,out-[side],128
remove,re-[move],128
internet,inter-[net],126
firstly,[first]-ly,125
simplify,[simple]-ify,125
factory,[fact]-ory,124
traditional,[tradition]-al,124
message,[mess]-age,122
movement,[move]-ment,121
national,[nation]-al,119
outweigh,out-[weigh],119
action,[act]-ion,118
customer,[custom]-er,118
finally,[fine]-ally,118
mistake,mis-[take],118
strongly,[strong]-ly,117
direction,[direct]-ion,116
transport,trans-[port],115
authority,[author]-ity,114
enjoy,en-[joy],113
engineer,[engine]-eer,108
detail,de-[tail],106
disadvantage,dis-[advantage],106
dangerous,[danger]-ous,104
overall,over-[all],104
international,inter-[nation]-al,103
directly,[direct]-ly,102
merely,[mere]-ly,102
largely,[large]-ly,101
performance,[perform]-ance,101
device,de-[vice],100
outcome,out-[come],99
freedom,[free]-dom,97
harmful,[harm]-ful,97
extent,ex-[tent],96
naturally,[nature]-ally,96
active,[act]-ive,95
tourism,[tour]-ism,95
security,[secure]-ity,94
treatment,[treat]-ment,90
underlie,under-[lie],89
failure,[fail]-ure,88
famous,[fame]-ous,88
mainly,[main]-ly,88
resort,re-[sort],87
exchange,ex-[change],85
disappear,dis-[appear],84
driver,[drive]-er,84
extremely,[extreme]-ly,82
illness,[ill]-ness,82
certainly,[certain]-ly,81
otherwise,[other]-wise,80
abroad,ab-[road],79
connection,[connect]-ion,79
tourist,[tour]-ist,79
regardless,[regard]-less,78
report,re-[port],77
slowly,[slow]-ly,77
preserve,pre-[serve],76
