tien_to,nghia_en,nghia_vi,chuc_nang,ngoai_le,bien_the_chinh_ta,tan_suat,vi_du
un-,"not, opposite of; reverses the meaning","không, trái với; đảo ngược nghĩa gốc","Tạo tính từ (vd ~67% trường hợp, theo số liệu creates); thường gắn vào tính từ hoặc phân từ quá khứ (past participle) dùng như tính từ.","không có đồng hóa chính tả đặc biệt; gắn trực tiếp vào gốc, giữ nguyên chính tả gốc kể cả khi gốc bắt đầu bằng nguyên âm (unaware, unequal, unemployed)",,526,unable;unacceptable;unaccountable;unaccountably;unaccustomed;unachievable;unadjusted;unadvised;unadvisedly;unafraid;unaided;unalienable;unalterable;unalterably;unamused;unannounced;unanswerable;unanswered;unapproachable;unarm;unashamedly;unasked;unassisted;unassuming;unassumingly;unattached;unattended;unattractive;unauthorized;unavailable;unavoidable;unavoidably;unaware;unawareness;unbacked;unbalance;unbar;unbearable;unbearably;unbeatable;unbeaten;unbecoming;unbecomingly;unbeknown;unbeknownst;unbelief;unbelievable;unbelievably;unbeliever;unbelieving;unbelievingly;unbend;unbent;unbiased;unbidden;unbind;unborn;unbound;unbreakable;unbroken;unburden;unburned;unbutton;uncalled;uncap;uncaused;unceasing;unceasingly;unceremonious;unceremoniously;unceremoniousness;uncertain;uncertainly;uncertainness;uncertainty;unchallenged;unchangeable;unchanged;uncharged;uncharted;unchecked;uncivil;unclaimed;unclean;uncleanness;unclear;unclouded;uncolored;uncomfortable;uncomfortably;uncomforted;uncommitted;uncommon;uncommonly;uncomplainingly;uncompromising;uncompromisingly;unconcern;unconcernedly;unconditional;unconditionally;unconditioned;unconnected;unconquerable;unconscious;unconsciously;unconsciousness;unconsidered;uncontrollable;uncontrolled;unconventional;unconvincing;uncounted;uncouple;uncourageous;uncousinly;uncover;uncritical;uncritically;uncross;uncrowned;uncrushable;uncut;undamaged;undated;undecided;undecidedly;undecidedness;undeclared;undedicated;undefended;undefined;undemonstrative;undeniable;undeniably;undeserved;undesirability;undesirable;undesirably;undetectable;undetected;undetermined;undeveloped;undifferentiated;undiminished;undischarged;undisciplined;undisclosed;undisputed;undistinguished;undisturbed;undivided;undo;undomesticated;undoubted;undoubtedly;undreamed;undreamt;undress;undrinkable;undue;unduly;undying;unearned;unearth;unearthliness;unearthly;unease;uneasily;uneasiness;uneasy;uneaten;uneducated;unemployable;unemployed;unemployment;unending;unendingly;unendurable;unequal;unethical;uneven;unevenly;unevenness;uneventful;uneventfully;unexampled;unexpected;unexpectedly;unexplainable;unexplained;unexplored;unfailing;unfailingly;unfair;unfairly;unfairness;unfaithful;unfaithfully;unfaithfulness;unfamiliar;unfastened;unfavourable;unfavourably;unfeeling;unfeelingly;unfenced;unfinished;unfired;unfit;unfixed;unflagging;unflaggingly;unfold;unforgettable;unforgettably;unforgivable;unformed;unfortunate;unfortunately;unfounded;unfrequented;unfriendly;unfruitful;unfulfilled;ungainliness;ungainly;ungenerous;ungenerously;ungodly;ungovernable;ungoverned;ungracious;ungraciously;unguarded;unguided;unhand;unhappily;unhappiness;unhappy;unhealthily;unhealthiness;unhealthy;unheated;unholiness;unholy;unhook;unhorse;unhurried;unhurriedly;unhurt;unimaginable;unimaginative;unimpaired;unimposing;unimpressed;unimpressive;unimproved;uninfluenced;uninformed;uninhabitable;uninjured;unintended;unintentionally;uninterested;uninvited;unjust;unjustifiable;unjustified;unkind;unkindly;unknowing;unknowingly;unlawful;unlawfully;unlearn;unlearnt;unlettered;unlicensed;unlike;unlikelihood;unlikeliness;unlikely;unlimited;unlinked;unlisted;unload;unloader;unlock;unloose;unloosen;unlovely;unluckily;unlucky;unmade;unman;unmanageable;unmanageably;unmanly;unmannered;unmannerly;unmarked;unmarried;unmask;unmatchable;unmatched;unmated;unmeasured;unmentionable;unmeritorious;unmethodical;unmindful;unmistakable;unmistakably;unmixed;unmodified;unmotivated;unmoved;unnameable;unnamed;unnatural;unnaturally;unnaturalness;unnecessarily;unnecessary;unneeded;unnerve;unnoticed;unnumbered;unoccupied;unofficial;unofficially;unopened;unpack;unpadded;unpaid;unpaintable;unpaired;unparalleled;unparliamentary;unpatronizing;unperformed;unpick;unplaced;unplayable;unpleasant;unpleasantly;unpleasantness;unpleased;unpopular;unprecedented;unprecedentedly;unpredictable;unprepared;unpretentious;unpretentiously;unpretentiousness;unprincipled;unprintable;unproblematic;unprofitable;unpromising;unprompted;unprotected;unproved;unprovocative;unprovoked;unpublished;unputdownable;unqualified;unqualifiedly;unquestionable;unquestionably;unquestioned;unquestioningly;unquiet;unquote;unreadable;unreadably;unready;unreal;unrealistic;unrealistically;unreason;unreasonable;unreasonableness;unreasonably;unrecoverable;unrelated;unreleased;unreliability;unreliable;unrelieved;unrelievedly;unremarkable;unreserved;unreservedly;unresolved;unresponsive;unrest;unrestrained;unrestricted;unrestrictedly;unrewarding;unrifled;unripped;unrivalled;unroll;unromantic;unruly;unsafe;unsalted;unsay;unschooled;unscrew;unscripted;unsealed;unseasonable;unseasoned;unseat;unseeing;unseeingly;unselfconsciousness;unselfish;unselfishly;unserviceable;unservile;unsettle;unsex;unshakable;unsharpened;unshed;unsheltered;unsightliness;unsightly;unsigned;unsinkable;unskilled;unsloped;unsmiling;unsmilingly;unsolved;unsound;unsparing;unsparingly;unspeakable;unspeakably;unspotted;unstable;unsteadily;unsteady;unstop;unstoppable;unstressed;unstring;unstuffy;unsuccessful;unsuccessfully;unsuitable;unsuitably;unsuited;unsupportable;unsupported;unsure;unsurmountable;unsuspecting;unsympathetic;untapped;unteach;untellable;untenable;untenanted;unthematic;unthinkable;unthinking;unthinkingly;untidily;untidiness;untidy;untie;untimeliness;untimely;untiring;untiringly;untouchable;untouched;untoward;untowardly;untowardness;untracked;untraditional;untrained;untreated;untrue;untrustworthiness;untruth;untruthful;untruthfully;unused;unusual;unusually;unvarying;unversed;unvoiced;unwanted;unwarrantable;unwarranted;unwed;unwelcome;unwell;unwholesome;unwilling;unwillingly;unwillingness;unwind;unwire;unwise;unwisely;unwitting;unwittingly;unwomanly;unworkable;unworthy;unwound;unyielding
re-,"again, back; repetition or reversal of an action","lại, một lần nữa; sự lặp lại hoặc đảo ngược hành động","Tạo động từ (vd ~42% trường hợp, theo số liệu creates); thường gắn vào động từ gốc.","không có đồng hóa chính tả đặc biệt; đôi khi cần dấu gạch nối khi gốc bắt đầu bằng nguyên âm hoặc để tránh nhầm nghĩa với từ có sẵn (re-cover 'che lại' khác recover 'hồi phục', re-creation khác recreation)",,277,antiredeposition;derestrict;disrepair;irremovable;irreparable;irreparably;irreplaceable;irrepressible;irrepressibly;irresolvable;irreversible;irreversibly;misreport;nonreactivity;nonreactors;nonrestrictive;react;reactants;reaction;reactionary;reactivate;reactive;reactively;reactiveness;reactivity;reactor;readapting;readdress;readjust;readjustment;reaffirm;reaffirmation;reafforest;reafforestation;reagent;realign;realignment;reappear;reappearance;reapportioned;reapportionment;rearm;rearmament;rearrange;rearrangement;reassert;reassign;reassurance;reassure;reassuringly;reawaken;rebind;rebirth;reborn;rebound;rebuild;recall;recallable;recap;recapture;recast;recharge;rechartering;recheck;recital;recitation;recitative;recite;reciter;reclaim;reclamation;reclassification;recommence;recondition;reconsider;reconsideration;reconstruct;recopied;recount;recovers;recreate;recriminate;recrimination;recriminatory;recycle;rededicate;redefinition;redeploy;redeployment;redeposition;redevelopers;redevelopment;redirect;rediscover;redistribute;redistribution;redo;redouble;reeducate;reeducation;reelected;reelection;reemerged;reenact;reentered;reestablish;reevaluation;reexamination;reexamine;refashion;refill;refinance;refit;refloat;refolded;reforest;reforestation;reform;reformation;reformative;reformatory;reformer;refresh;refreshingly;refreshment;refuel;refund;refuse;regain;reground;regroup;rehear;rehouse;reinforce;reinforcement;reinstall;reinstate;reinstatement;reinsurance;reinterpret;reinvestigation;reissue;relaid;relining;relive;reload;relocate;remake;remarriage;remarry;remind;reminder;remodel;remonstrance;remonstrate;remount;removable;removal;remove;remover;rename;renew;renewable;renewal;reopen;reorder;reorganization;reorganize;repaint;repair;repairer;reparable;reparation;repay;repayable;repayment;rephrased;replace;replaceable;replacement;replanted;replay;repoint;report;reportage;reportedly;reporter;reportorial;repose;repossess;repossession;repot;repress;repression;repressive;repressively;reprint;repulse;repulsion;repulsive;repulsively;repulsiveness;request;requesters;reread;rerun;resale;resealed;research;researchable;researcher;reseat;reserve;reset;resettle;resettlement;reshapes;resoled;resolvable;resolve;resonance;resonant;resonantly;resonate;resonator;restate;restatement;restock;restrain;restraint;restrict;restriction;restrictive;restrictively;restrictiveness;resurface;retake;retaken;retell;retention;retentive;retentively;retentiveness;rethink;rethought;retied;retooled;retouch;retrace;retraining;retrial;reunite;reusable;reuse;revaluation;revalue;reversal;reverse;reversely;reversibility;reversible;reversion;reversionary;review;reviewer;revisited;revitalization;revitalize;rewire;reword;rewrite;rewritten;unresolved;unrestrained;unrestricted;unrestrictedly
dis-,"not, opposite of; reversal, removal, or negation","không, trái với; đảo ngược, loại bỏ hoặc phủ định","Tạo danh từ (vd ~45% trường hợp, theo số liệu creates); thường gắn vào động từ hoặc danh từ gốc (dis+agree, dis+comfort), cũng gắn vào tính từ (dis+loyal).","không có đồng hóa chính tả đặc biệt; khi gốc bắt đầu bằng 's', giữ nguyên hai chữ 's' liên tiếp, không lược bớt (dissatisfaction, disservice, dissolve)",,186,disability;disable;disablement;disabuse;disadvantage;disadvantageous;disadvantageously;disafforest;disafforestation;disagree;disagreeable;disagreeableness;disagreeably;disagreement;disallow;disappear;disappearance;disappoint;disappointingly;disappointment;disapprobation;disapproval;disapprove;disapprovingly;disarm;disarmament;disarrange;disarrangement;disarray;disavow;disavowal;disband;disbandment;disbar;disbarment;disbelief;disbelieve;disbeliever;disburden;discard;discharge;disclaim;disclaimer;disclose;disclosure;discolour;discolouration;discomfort;discompose;discomposure;disconcert;disconcertingly;disconnect;disconnectedly;disconnection;discontent;discontentedly;discontentment;discontinuance;discontinue;discontinuity;discontinuous;discontinuously;discount;discourage;discouragement;discouragingly;discourse;discourtesy;discover;discredit;discreditable;discreditably;discriminate;discrimination;discriminatory;disease;disembody;disenfranchise;disenfranchisement;disengage;disengagement;disestablish;disestablishment;disfavour;disfigure;disfigurement;disforest;disfranchise;disfranchisement;disgrace;disgraceful;disgracefully;disguise;dishearten;dishonest;dishonestly;dishonesty;dishonor;dishonourable;dishonourably;disincentive;disinterest;disinterestedly;disinterestedness;disjoint;disjointedly;disjointedness;dislike;disloyal;disloyally;disloyalty;dismember;dismemberment;dismiss;dismissal;dismount;disobey;disoblige;disobligingly;disorder;disorderliness;disorderly;disorganization;disorganize;disown;dispassionate;dispassionately;dispatch;displace;displacement;displease;displeasingly;displeasure;disport;disposable;disposal;dispose;dispossess;dispossession;disproof;disproportion;disproportionate;disproportionately;disprove;disqualification;disqualify;disquiet;disquietude;disregard;disremember;disrepair;disrespect;disrespectful;disrespectfully;dissatisfaction;disservice;dissolution;distaste;distasteful;distastefully;distastefulness;distend;distension;distract;distribute;distribution;distributional;distributive;distributor;distributorship;distrust;distrustful;distrustfully;distrustfulness;disuse;indiscriminate;indiscriminately;indisposed;nondiscriminatory;predispose;redistribute;redistribution;undischarged;undisclosed
over-,"excessively, too much; above, over, beyond","quá mức, thái quá; ở trên, vượt quá","Tạo động từ (vd ~38% trường hợp, theo số liệu creates); thường gắn vào động từ hoặc tính từ gốc.",không có ngoại lệ chính tả đặc biệt,,123,overact;overactive;overage;overall;overbalance;overbear;overbearingly;overbid;overboard;overbore;overburden;overcall;overcast;overcharge;overclouded;overcoat;overcome;overcompensate;overcompensation;overcooked;overcooled;overcrowd;overcurious;overdo;overdose;overdraft;overdrawn;overdress;overdrive;overdue;overeager;overeat;overemphasis;overexcited;overexploitation;overexpose;overfeed;overfill;overflow;overflown;overfly;overgenerous;overgrowth;overhand;overhang;overhead;overhear;overheat;overjoy;overkill;overland;overlap;overlay;overleaf;overleapt;overload;overlong;overlook;overlord;overloud;overlying;overmaster;overmuch;overnight;overnighters;overpaid;overpass;overpayment;overplay;overpower;overpoweringly;overpressure;overpriced;overprint;overprotection;overprotective;overrate;overreach;overridden;override;overrule;overrun;oversea;oversee;overseen;overseer;oversell;oversexed;overshadow;overshoe;overshoot;overshot;overside;oversight;oversimplification;oversimplify;oversize;overskirt;oversleep;oversoft;oversoftness;overspill;overstate;overstatement;overstay;oversteer;overstep;overstock;overstraining;overstuffed;oversubscribed;overtake;overtaken;overtax;overthrow;overthrown;overtime;overtone;overtop;overturn;overweight;overwork;overwritten
co-,"together, jointly, with","cùng nhau, cùng, chung với","Tạo danh từ (vd ~54% trường hợp, theo số liệu creates); thường gắn vào danh từ hoặc động từ gốc.","Đồng hóa phụ âm (biến thể con-/com-): đổi thành 'com-' trước b/m/p (compose, commotion, compress), 'col-' trước l (collaborate), 'cor-' trước r (correlate), giữ 'co-' trước nguyên âm hoặc h (coexist, cohabit)","com- (trước b/m/p), col- (trước l), cor- (trước r), con- (dạng đầy đủ trước phụ âm khác), co- (trước nguyên âm/h)",122,coauthor;cobra;coeditors;coeducation;coeducational;coexist;coexistence;coexistent;cofactors;cohabit;cohabitation;collaborate;collaboration;collaborationism;collaborationist;collaborator;commissary;commission;commissionaire;commissioner;commotion;compose;composedly;composer;composite;composition;compositional;compositor;composure;compound;compress;compressibility;compressible;compression;compressive;compressor;compulsion;compulsive;compulsively;compulsiveness;compulsorily;compulsory;configuration;confine;confinement;confirm;confirmation;confluence;conform;conformable;conformably;conformance;conformation;conformational;conformity;confound;confoundedly;confront;confrontation;conjoin;conjoint;conjointly;conquest;conscript;conscription;conservancy;conservation;conservationist;conservatism;conservative;conservatively;conservatoire;conservatory;conserve;consolidate;consolidation;consonance;consonant;consonantal;constrain;constrainedly;constraint;constrict;constriction;constrictive;constrictor;consubstantiation;contest;contestable;contestant;context;contextual;contextually;contribute;contribution;contributor;contributory;conversely;conversion;copilot;correlate;correlation;correlative;cosignatory;cosponsors;covet;coworkers;decompose;decomposition;decompress;decompression;discompose;discomposure;incompressible;incontestability;incontestable;incontestably;noncommissioned;nonconformist;nonconformity;noncontributory
de-,"down, away, reverse, remove, reduce","xuống, đi khỏi, đảo ngược, loại bỏ, làm giảm","Tạo động từ (vd ~46% trường hợp, theo số liệu creates); thường gắn vào động từ hoặc danh từ gốc.",không có đồng hóa chính tả đặc biệt,,118,deactivated;deactivation;debag;debase;debasement;debate;debone;debrief;debug;decamp;decarbonize;declaim;declamation;declamatory;declassification;declassify;decode;decoder;decompose;decomposition;decompress;decompression;decontrol;decry;deface;defacement;defamation;defamatory;defame;defend;deflower;deforest;deforestation;deform;deformation;deformity;defraud;dehumanization;dehumanize;delimit;delimitate;delimitation;delineate;delineation;demarcate;demarcation;demerit;demineralization;demobilization;demobilize;demonstrable;demonstrably;demonstrate;demonstration;demonstrative;demonstratively;demonstrator;demoralization;demoralize;demythologize;denationalization;denationalize;denatured;denotation;denotative;denote;depend;depersonalization;deplane;deport;deportation;deportee;deportment;depose;deposit;depress;depressants;depressingly;depression;depressive;depressors;derail;derailment;derate;derestrict;desalt;descale;describable;describe;description;descriptive;descriptively;descriptiveness;desensitization;desensitize;deserve;deservedly;despatched;despoil;despoilers;detention;detour;detrain;detribalization;detribalize;devaluate;devaluation;devalue;devitalization;devitalize;indescribable;indescribably;nondescript;nondescriptly;undemonstrative;undeserved
en-,"to put into, to make, to cause to be","đưa vào, làm cho, khiến trở nên","Tạo động từ (vd ~53% trường hợp, theo số liệu creates); thường gắn vào tính từ hoặc danh từ gốc để tạo động từ (en+able, en+case).",không có đồng hóa chính tả đặc biệt theo nhóm tiền tố Latin chuẩn (in-/ad-/con-/ex-/sub-/syn-/ob-); tuy nhiên có biến thể thực tế 'em-' trước b/m/p (xem cột biến thể chính tả),"em- (trước b/m/p: embank, embody, empower, embitter)",85,disembody;disenfranchise;disenfranchisement;embank;embankment;embattled;embed;embellish;embellishment;embitter;embitterment;embodiment;embody;embolden;emboss;empanels;empathy;emplacement;empower;empurpled;enable;enact;enactment;encamp;encampment;encase;enchain;enchainment;encircle;encirclement;enclose;enclosure;encode;encounter;encourage;encouragement;encouragingly;encyclical;endanger;endearingly;endearment;enfold;enforce;enforceable;enforcement;enforcers;enfranchise;enfranchisement;engender;engrave;engross;engrossingly;enjoy;enjoyable;enjoyably;enjoyment;enlarge;enlargement;enlighten;enlightenment;enlist;enlistment;enliven;ennoble;ennoblement;enplane;enrage;enrich;enrichment;enrolment;enslave;enslavement;ensure;entail;entitle;entitlement;entrain;entrap;entrapment;entreat;entreatingly;entreaty;entrust;enwrap;reenact
out-,"outside, beyond, exceeding, away, surpassing","ra ngoài, vượt quá, hơn, đi xa","Tạo danh từ (vd ~39% trường hợp, theo số liệu creates); thường gắn vào danh từ hoặc động từ gốc.",không có ngoại lệ chính tả đặc biệt,,83,outback;outbalance;outbid;outboard;outbound;outbreak;outbuilding;outburst;outcast;outclass;outcome;outcrop;outcry;outdate;outdistance;outdo;outdoor;outface;outfall;outfielder;outfight;outfit;outflow;outgoing;outgrow;outgrown;outgrowth;outhouse;outlanders;outlandish;outlandishly;outlandishness;outlast;outlaw;outlawry;outlay;outlet;outline;outlive;outlook;outlying;outmatch;outmoded;outmost;outnumber;outpatient;outplay;outpointed;outpost;outpouring;output;outrage;outrageous;outrageously;outrank;outreach;outridden;outride;outrider;outright;outrun;outsell;outset;outshine;outside;outsider;outsize;outskirts;outsmart;outspread;outstanding;outstandingly;outstate;outstay;outstretched;outstrip;outta;outvote;outweigh;outwit;outwork;outworker
mis-,"wrongly, badly, incorrectly","sai, nhầm, không đúng","Tạo danh từ (vd ~46% trường hợp, theo số liệu creates); thường gắn vào động từ gốc.","không có đồng hóa chính tả đặc biệt; khi gốc bắt đầu bằng 's', tạo hai chữ 's' liên tiếp, không lược bớt (misspell, misstate, misshapen)",,80,misadvise;misalignment;misalliance;misapply;misbehave;misbehavior;misbehaviour;misbranded;miscall;miscarriage;miscarry;miscast;mischance;miscount;miscue;misdate;misdeal;misdealt;misdeed;misdirect;misdirection;misfire;misfit;misfortune;misgive;misgovern;misgovernment;misguide;misguidedly;mishandle;mishear;mishit;misinform;misinformation;misinterpret;misinterpretation;misinterpreters;misjudge;misjudgement;mislay;mislead;misleadingly;mismanage;mismanagement;mismatch;misname;misplace;misplacement;misprint;mispronounce;mispronunciation;misquotation;misquote;misread;misreport;misrepresent;misrepresentation;misrule;misshapen;misspell;misspelt;misspend;misstate;misstatement;mistakable;mistake;mistakenly;mistime;mistranslate;mistranslation;mistrial;mistrust;mistrustful;mistrustfully;mistrustfulness;misunderstand;misuse;unmistakable;unmistakably
under-,"below, beneath, insufficiently","ở dưới, bên dưới, không đủ mức","Tạo danh từ (vd ~45% trường hợp, theo số liệu creates); thường gắn vào danh từ hoặc động từ gốc.",không có ngoại lệ chính tả đặc biệt,,73,underachievers;underact;underage;underarm;underbedding;underbid;underbrush;undercarriage;undercharge;underclassman;underclothes;undercoat;undercover;undercurrent;undercut;underdeveloped;underdog;undereducated;underestimate;underexpose;underexposure;underfloor;underfoot;undergo;undergraduate;underground;undergrowth;underhand;underhandedly;underhandedness;underlain;underlay;underlie;underline;undermentioned;undermine;underpants;underpass;underpay;underpayment;underpin;underprivileged;underrate;underscore;undersea;undersecretary;undersell;undersexed;undershirt;undershoot;underside;undersign;undersize;understaffed;understate;understatement;understocked;undertake;undertaken;undertaker;undertone;undervaluation;undervalue;underwater;underway;underwear;underweight;underwood;underworld;underwrite;underwriter;underwritten
