thanh_phan,trang_thai,so_lan_xuat_hien,meaning_en,meaning_vi,vi_du_tu,nguon
(t),Mới - chưa có ảnh,1,"act, state, result of (noun)","hành động, trạng thái, kết quả của (danh từ)",descent,missing_words_analyzed
abil,Mới - chưa có ảnh,1,"capable of, able to (combining form)","có khả năng, có thể (dạng kết hợp)",sociability,missing_words_analyzed
ability,Mới - chưa có ảnh,6+,quality of being able to (noun),phẩm chất có khả năng (danh từ),"accountability, adaptability, dependability, desirability, excitability, unpredictability",missing_words_analyzed
ably,Mới - chưa có ảnh,6+,in a manner that is able to (adverb),theo cách có thể (trạng từ),"arguably, noticeably, reasonably, reliably, remarkably, undeniably",missing_words_analyzed
acean,Mới - chưa có ảnh,1,"belonging to a class or group (zoological, noun/adjective)","thuộc về một lớp, nhóm (động vật học, danh từ/tính từ)",crustacean,missing_words_analyzed
action,Mới - chưa có ảnh,1,act or process of (noun),hành động hoặc quá trình (danh từ),satisfaction,missing_words_analyzed
ain,Mới - chưa có ảnh,1,"relating to, place of (noun)","liên quan đến, nơi chốn (danh từ)",terrain,missing_words_analyzed
alia,Mới - chưa có ảnh,1,"things relating to (noun, Latin)","những thứ liên quan đến (danh từ, Latin)",marginalia,missing_words_analyzed
aline,Mới - chưa có ảnh,1,"chemical substance (noun, chemistry)","chất hóa học (danh từ, hóa học)",adrenaline,missing_words_analyzed
ament,Mới - chưa có ảnh,1,"state, result of action (noun)","trạng thái, kết quả của hành động (danh từ)",temperament,missing_words_analyzed
an,Mới - chưa có ảnh,6+,"belonging to, native of (noun/adjective)","thuộc về, người/thứ bản địa của (danh từ/tính từ)","amphibian, asian, belgian, european, historian, italian",missing_words_analyzed
arian,Mới - chưa có ảnh,1,"person concerned with, believer in (noun)","người quan tâm đến, người tin theo (danh từ)",antiquarian,missing_words_analyzed
ary,Mới - chưa có ảnh,6+,"relating to, connected with (adjective/noun)","liên quan đến, gắn với (tính từ/danh từ)","boundary, complementary, contemporary, documentary, imaginary, secondary",missing_words_analyzed
as,Mới - chưa có ảnh,1,"in the manner that, since (conjunctive particle)","theo cách mà, vì (tiểu từ liên kết)",whereas,missing_words_analyzed
at,Mới - chưa có ảnh,1,"result of, state (noun)","kết quả, trạng thái (danh từ)",format,missing_words_analyzed
atic,Mới - chưa có ảnh,3,"relating to, characterized by (adjective)","liên quan đến, đặc trưng bởi (tính từ)","problematic, systematic, systematically",missing_words_analyzed
ation,Mới - chưa có ảnh,6+,"act, process, state of (noun)","hành động, quá trình, trạng thái (danh từ)","combination, concentration, conservation, explanation, foundation, information",missing_words_analyzed
ative,Mới - chưa có ảnh,6+,"tending to, relating to (adjective)","có xu hướng, liên quan đến (tính từ)","conservative, figurative, formative, innovative, preservative, representative",missing_words_analyzed
atively,Mới - chưa có ảnh,1,in a manner tending to (adverb),theo cách có xu hướng (trạng từ),cumulatively,missing_words_analyzed
ator,Mới - chưa có ảnh,6+,"one who does, agent (noun)",người/vật thực hiện hành động (danh từ),"administrator, commentator, conservator, innovator, negotiator, spectator",missing_words_analyzed
atory,Mới - chưa có ảnh,5,"relating to, place for (adjective/noun)","liên quan đến, nơi để (tính từ/danh từ)","discriminatory, laboratory, observatory, preparatory, respiratory",missing_words_analyzed
ature,Mới - chưa có ảnh,2,"state, act, result of (noun)","trạng thái, hành động, kết quả (danh từ)","literature, signature",missing_words_analyzed
back,Mới - chưa có ảnh,1,"back, backward, return (combining form, noun)","ngược lại, trở lại (dạng kết hợp, danh từ)",drawback,missing_words_analyzed
ball,Mới - chưa có ảnh,1,"ball, game played with a ball (combining form, noun)","quả bóng, môn thể thao dùng bóng (dạng kết hợp, danh từ)",football,missing_words_analyzed
bery,Mới - chưa có ảnh,1,"act, practice, place of (noun)","hành động, việc làm, nơi chốn (danh từ)",robbery,missing_words_analyzed
bility,Mới - chưa có ảnh,1,quality of being able to (noun),phẩm chất có khả năng (danh từ),compatibility,missing_words_analyzed
by,Mới - chưa có ảnh,1,"near, by means of (adverbial combining form)","gần, bằng cách (dạng kết hợp trạng từ)",thereby,missing_words_analyzed
ce,Mới - chưa có ảnh,6+,"state, quality, act (noun)","trạng thái, tính chất, hành động (danh từ)","absence, brilliance, diligence, elegance, relevance, resilience",missing_words_analyzed
ceous,Mới - chưa có ảnh,1,"having the nature of, resembling (adjective)","có bản chất giống, giống như (tính từ)",farinaceous,missing_words_analyzed
cide,Mới - chưa có ảnh,1,"killer of, killing (noun)","chất/kẻ giết, sự giết (danh từ)",pesticide,missing_words_analyzed
cracy,Mới - chưa có ảnh,2,"rule, government by (noun)","sự cai trị, hình thức chính quyền (danh từ)","democracy, meritocracy",missing_words_analyzed
crat,Mới - chưa có ảnh,2,"ruler, member of a ruling group (noun)","người cai trị, thành viên nhóm cầm quyền (danh từ)","aristocrat, bureaucratic",missing_words_analyzed
cy,Mới - chưa có ảnh,6+,"state, quality, condition (noun)","trạng thái, tính chất, điều kiện (danh từ)","accuracy, agency, consistency, fluency, frequency, literacy",missing_words_analyzed
cycl(e),Mới - chưa có ảnh,1,"circle, wheel (combining form, noun, Greek)","vòng tròn, bánh xe (dạng kết hợp, danh từ, Hy Lạp)",motorcyclist,missing_words_analyzed
d,Mới - chưa có ảnh,6+,"having, marked by; past tense/participle (adjective/verb)","có, mang đặc điểm; thì quá khứ (tính từ/động từ)","ashamed, hardwired, inexperienced, unchallenged, unchanged, unprepared",missing_words_analyzed
day,Mới - chưa có ảnh,1,"day (combining form, noun)","ngày (dạng kết hợp, danh từ)",monday,missing_words_analyzed
days,Mới - chưa có ảnh,1,"on/during days, time period (adverb)","vào những ngày, khoảng thời gian (trạng từ)",nowadays,missing_words_analyzed
ding,Mới - chưa có ảnh,1,act or result of (noun),hành động hoặc kết quả của (danh từ),wedding,missing_words_analyzed
down,Mới - chưa có ảnh,2,"downward motion, decline (combining form, noun)","sự đi xuống, suy giảm (dạng kết hợp, danh từ)","countdown, meltdown",missing_words_analyzed
