word,pos,structure,meaning_en,meaning_vi
abandonment,noun,[abandon]-ment,withdrawing support or help despite allegiance or responsibility,"abandon(từ bỏ, bỏ rơi) + -ment(kết quả/hành động/trạng thái (danh từ))"
ably,adverb,[able]-y,with competence,able(có khả năng) + -y(có tính chất; danh từ/tính từ)
abler,noun,[able]-er,"comp. of Able.-- A""blest, a.,",able(có khả năng) + -er(người làm việc gì; so sánh hơn)
ablest,adjective,[able]-est,"able(to have the skill, intelligence, opportunity, etc. needed to do something) + -est(superlative)",able(có khả năng) + -est(so sánh nhất)
ability,noun,[able]-ity,the fact that somebody/something is able to do something,"able(có khả năng) + -ity(trạng thái, tính chất (danh từ))"
unable,adjective,un-[able],"not having the skill, strength, time, knowledge, etc. to do something","un-(không, ngược lại (phủ định/đảo nghĩa)) + able(có khả năng)"
enable,verb,en-[able],to make it possible for somebody/something to do something,"en-(làm cho, đưa vào) + able(có khả năng)"
disable,verb,dis-[able],injure permanently,"dis-(không, ngược lại, tách rời) + able(có khả năng)"
inability,noun,im-[able]-ity,the fact of not being able to do something,"im-(không (biến thể của in- trước b/m/p)) + able(có khả năng) + -ity(trạng thái, tính chất (danh từ))"
disability,noun,dis-[able]-ity,a physical or mental condition that makes it difficult for somebody to do some things that most other people can do,"dis-(không, ngược lại, tách rời) + able(có khả năng) + -ity(trạng thái, tính chất (danh từ))"
disablement,noun,dis-[able]-ment,the condition of being unable to perform as a consequence of physical or mental unfitness,"dis-(không, ngược lại, tách rời) + able(có khả năng) + -ment(kết quả/hành động/trạng thái (danh từ))"
abolition,noun,[abolish]-ion,the act of abolishing a system or practice or institution (especially abolishing slavery),"abolish(bãi bỏ, hủy bỏ) + -ion(hành động, quá trình, trạng thái (danh từ))"
abolitionist,noun,[abolish]-ion-ist,a reformer who favors abolishing slavery,"abolish(bãi bỏ, hủy bỏ) + -ion(hành động, quá trình, trạng thái (danh từ)) + -ist(người theo/thực hành (danh từ))"
absently,adverb,[absent]-ly,in an absentminded or preoccupied manner,absent(vắng mặt) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
absentee,noun,[absent]-ee,one that is absent or not in residence,absent(vắng mặt) + -ee(người nhận/chịu tác động (danh từ))
absenteeism,noun,[absent]-ee-ism,habitual absence from work,"absent(vắng mặt) + -ee(người nhận/chịu tác động (danh từ)) + -ism(niềm tin, học thuyết, tình trạng (danh từ))"
absolution,noun,[absolute]-ion,the act of absolving or remitting,"absolute(tuyệt đối, hoàn toàn) + -ion(hành động, quá trình, trạng thái (danh từ))"
absolutism,noun,[absolute]-ism,the doctrine of an absolute being,"absolute(tuyệt đối, hoàn toàn) + -ism(niềm tin, học thuyết, tình trạng (danh từ))"
absolutely,adverb,[absolute]-ly,used to emphasize that something is completely true,"absolute(tuyệt đối, hoàn toàn) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
absoluteness,noun,[absolute]-ness,the quality of being absolute,"absolute(tuyệt đối, hoàn toàn) + -ness(trạng thái, tính chất (danh từ))"
absurdly,adverb,[absurd]-ly,in an absurd manner or to an absurd degree,"absurd(vô lý, phi lý) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
absurdity,noun,[absurd]-ity,a ludicrous folly,"absurd(vô lý, phi lý) + -ity(trạng thái, tính chất (danh từ))"
abusive,adjective,[abuse]-ive,characterized by physical or psychological maltreatment,"abuse(lạm dụng, ngược đãi) + -ive(có xu hướng, có tính chất (tính từ))"
abusively,adverb,[abuse]-ive-ly,in an abusive manner,"abuse(lạm dụng, ngược đãi) + -ive(có xu hướng, có tính chất (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
disabuse,verb,dis-[abuse],free somebody (from an erroneous belief),"dis-(không, ngược lại, tách rời) + abuse(lạm dụng, ngược đãi)"
accentual,adjective,[accent]-al,(of verse) having a metric system based on stress rather than syllables or quantity,"accent(trọng âm, giọng nói) + -al(thuộc về (tính từ); hành động (danh từ))"
accentuate,verb,[accent]-ate,to put stress on,"accent(trọng âm, giọng nói) + -ate(làm cho/trở thành (động từ); có (tính từ))"
accentuation,noun,[accent]-ate-ion,the act of giving special importance or significance to something,"accent(trọng âm, giọng nói) + -ate(làm cho/trở thành (động từ); có (tính từ)) + -ion(hành động, quá trình, trạng thái (danh từ))"
acceptance,noun,[accept]-ance,"the act of accepting a gift, an invitation, an offer, etc.","accept(chấp nhận) + -ance(trạng thái, tính chất, hành động (danh từ))"
acceptable,adjective,[accept]-able,agreed or approved of by most people in a society,accept(chấp nhận) + -able(có thể được (tính từ))
acceptation,noun,[accept]-ion,the act of accepting with approval,"accept(chấp nhận) + -ion(hành động, quá trình, trạng thái (danh từ))"
acceptably,adverb,[accept]-able-y,in an acceptable (but not outstanding) manner,accept(chấp nhận) + -able(có thể được (tính từ)) + -y(có tính chất; danh từ/tính từ)
acceptability,noun,[accept]-able-ity,satisfactoriness by virtue of conforming to approved standards,"accept(chấp nhận) + -able(có thể được (tính từ)) + -ity(trạng thái, tính chất (danh từ))"
unacceptable,adjective,un-[accept]-able,so bad that you think it should not be allowed,"un-(không, ngược lại (phủ định/đảo nghĩa)) + accept(chấp nhận) + -able(có thể được (tính từ))"
accession,noun,[access]-ion,the act of attaining or gaining access to a new office or right or position (especially the throne),"access(truy cập, tiếp cận) + -ion(hành động, quá trình, trạng thái (danh từ))"
accessors,noun,[access]-or,access(the opportunity or right to use something or to see somebody/something) + -or(person/thing that does (noun)),"access(truy cập, tiếp cận) + -or(người/vật thực hiện (danh từ))"
accessible,adjective,[access]-able,"that can be reached, entered, used, seen, etc.","access(truy cập, tiếp cận) + -able(có thể được (tính từ))"
accessibility,noun,[access]-able-ity,the attribute of being easy to meet or deal with,"access(truy cập, tiếp cận) + -able(có thể được (tính từ)) + -ity(trạng thái, tính chất (danh từ))"
inaccessible,adjective,im-[access]-able,capable of being reached only with great difficulty or not at all,"im-(không (biến thể của in- trước b/m/p)) + access(truy cập, tiếp cận) + -able(có thể được (tính từ))"
inaccessibly,adverb,im-[access]-able-y,in an inaccessible manner,"im-(không (biến thể của in- trước b/m/p)) + access(truy cập, tiếp cận) + -able(có thể được (tính từ)) + -y(có tính chất; danh từ/tính từ)"
inaccessibility,noun,im-[access]-able-ity,the quality of not being available when needed,"im-(không (biến thể của in- trước b/m/p)) + access(truy cập, tiếp cận) + -able(có thể được (tính từ)) + -ity(trạng thái, tính chất (danh từ))"
accidental,adjective,[accident]-al,happening by chance or unexpectedly or unintentionally,accident(tai nạn) + -al(thuộc về (tính từ); hành động (danh từ))
accidentally,adverb,[accident]-al-ly,by chance; in a way that was not planned,accident(tai nạn) + -al(thuộc về (tính từ); hành động (danh từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
accommodation,noun,[accommodate]-ion,"a place to live, work or stay in","accommodate(chứa, thích nghi) + -ion(hành động, quá trình, trạng thái (danh từ))"
accomplishment,noun,[accomplish]-ment,an impressive thing that is done or achieved after a lot of work,accomplish(hoàn thành) + -ment(kết quả/hành động/trạng thái (danh từ))
accountant,noun,[account]-ant,a person whose job is to keep or check financial accounts,"account(tài khoản, tường thuật) + -ant(người/vật thực hiện; có tính chất (danh từ/tính từ))"
accountable,adjective,[account]-able,responsible for your decisions or actions and expected to explain them when you are asked,"account(tài khoản, tường thuật) + -able(có thể được (tính từ))"
accountably,adjective,[account]-able-y,In an accountable manner.,"account(tài khoản, tường thuật) + -able(có thể được (tính từ)) + -y(có tính chất; danh từ/tính từ)"
accountancy,noun,[account]-ance-y,the occupation of maintaining and auditing records and preparing financial reports for a business,"account(tài khoản, tường thuật) + -ance(trạng thái, tính chất, hành động (danh từ)) + -y(có tính chất; danh từ/tính từ)"
accountability,noun,[account]-able-ity,the fact of being responsible for your decisions or actions and expected to explain them when you are asked,"account(tài khoản, tường thuật) + -able(có thể được (tính từ)) + -ity(trạng thái, tính chất (danh từ))"
unaccountable,adjective,un-[account]-able,not to be accounted for or explained,"un-(không, ngược lại (phủ định/đảo nghĩa)) + account(tài khoản, tường thuật) + -able(có thể được (tính từ))"
unaccountably,adverb,un-[account]-able-y,in an unaccountable manner,"un-(không, ngược lại (phủ định/đảo nghĩa)) + account(tài khoản, tường thuật) + -able(có thể được (tính từ)) + -y(có tính chất; danh từ/tính từ)"
accuser,noun,[accuse]-er,someone who imputes guilt or blame,accuse(buộc tội) + -er(người làm việc gì; so sánh hơn)
accusative,adjective,[accuse]-ive,containing or expressing accusation,"accuse(buộc tội) + -ive(có xu hướng, có tính chất (tính từ))"
accusingly,adverb,[accuse]-ly,in an accusing manner,accuse(buộc tội) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
accusation,noun,[accuse]-ion,a statement saying that you think a person is guilty of doing something wrong or illegal; the fact of accusing somebody,"accuse(buộc tội) + -ion(hành động, quá trình, trạng thái (danh từ))"
achievable,adjective,[achieve]-able,capable of existing or taking place or proving true,achieve(đạt được) + -able(có thể được (tính từ))
achievement,noun,[achieve]-ment,"a thing that somebody has done successfully, especially using their own effort and skill",achieve(đạt được) + -ment(kết quả/hành động/trạng thái (danh từ))
unachieved,verb,un-[achieve],"un-(not, opposite of; reverse an action) + achieve(to succeed in reaching a particular goal, status or standard, especially by making an effort for a long time)","un-(không, ngược lại (phủ định/đảo nghĩa)) + achieve(đạt được)"
unachievable,adjective,un-[achieve]-able,impossible to achieve,"un-(không, ngược lại (phủ định/đảo nghĩa)) + achieve(đạt được) + -able(có thể được (tính từ))"
underachievers,noun,under-[achieve]-er,"under-(below, insufficient) + achieve(to succeed in reaching a particular goal, status or standard, especially by making an effort for a long time) + -er(person who does; comparative)","under-(dưới, không đủ) + achieve(đạt được) + -er(người làm việc gì; so sánh hơn)"
acidic,adjective,[acid]-ic,being or containing an acid,"acid(axit, chua) + -ic(thuộc về (tính từ))"
acidify,verb,[acid]-ify,to turn acidic,"acid(axit, chua) + -ify(làm cho, khiến trở thành (động từ))"
acidity,noun,[acid]-ity,the property of being acidic,"acid(axit, chua) + -ity(trạng thái, tính chất (danh từ))"
nonacid,adjective,non-[acid],"Destitute of acid properties; hence, basic; metallic; positive;-- said of certain atoms and radicals.","non-(không) + acid(axit, chua)"
acreage,noun,[acre]-age,an area of ground used for some particular purpose such as building or farming,"acre(mẫu Anh (đơn vị diện tích)) + -age(hành động, kết quả, tập hợp (danh từ))"
actor,noun,[act]-or,"a person who performs on the stage, on television or in films, especially as a profession","act(hành động, đạo luật) + -or(người/vật thực hiện (danh từ))"
actual,adjective,[act]-al,used to emphasize something that is real or exists in fact,"act(hành động, đạo luật) + -al(thuộc về (tính từ); hành động (danh từ))"
action,noun,[act]-ion,the process of doing something in order to make something happen or to deal with a situation,"act(hành động, đạo luật) + -ion(hành động, quá trình, trạng thái (danh từ))"
active,adjective,[act]-ive,"always busy doing things, especially physical activities","act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ))"
actuate,verb,[act]-ate,to put in motion or move to act,"act(hành động, đạo luật) + -ate(làm cho/trở thành (động từ); có (tính từ))"
actress,noun,[act]-ess,"a woman who performs on the stage, on television or in films, especially as a profession","act(hành động, đạo luật) + -ess(giống cái (danh từ))"
actuary,noun,[act]-ory,someone versed in the collection and interpretation of numerical data (especially someone who uses statistics to calculate insurance premiums),"act(hành động, đạo luật) + -ory(thuộc về, nơi chốn (tính từ/danh từ))"
activate,verb,[act]-ive-ate,to make something such as a device or chemical process start working,"act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ate(làm cho/trở thành (động từ); có (tính từ))"
actively,adverb,[act]-ive-ly,in an active manner,"act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
activism,noun,[act]-ive-ism,a policy of taking direct and militant action to achieve a political or social goal,"act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ism(niềm tin, học thuyết, tình trạng (danh từ))"
activist,noun,[act]-ive-ist,"a person who works to achieve political or social change, especially as a member of an organization with particular aims","act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ist(người theo/thực hành (danh từ))"
activity,noun,[act]-ive-ity,a thing that you do for interest or pleasure,"act(hành động, đạo luật) + -ive(có xu hướng, có tính chất (tính từ)) + -ity(trạng thái, tính chất (danh từ))"
actually,adverb,[act]-al-y,"used in speaking to emphasize a fact or a comment, or that something is really true","act(hành động, đạo luật) + -al(thuộc về (tính từ); hành động (danh từ)) + -y(có tính chất; danh từ/tính từ)"
actuarial,adjective,[act]-ory-al,of or relating to the work of an actuary,"act(hành động, đạo luật) + -ory(thuộc về, nơi chốn (tính từ/danh từ)) + -al(thuộc về (tính từ); hành động (danh từ))"
actuality,noun,[act]-al-ity,the state of actually existing objectively,"act(hành động, đạo luật) + -al(thuộc về (tính từ); hành động (danh từ)) + -ity(trạng thái, tính chất (danh từ))"
actionable,adjective,[act]-ion-able,affording grounds for legal action,"act(hành động, đạo luật) + -ion(hành động, quá trình, trạng thái (danh từ)) + -able(có thể được (tính từ))"
