component_roots,derived_word,morphology_structure,pattern_PRS,pos,IPA,ipa_status,definition_en,nghia_tieng_viet,source,vi_note,existence_note
above+board,aboveboard,[above+board],0-2-0,adverb,/əˈbəvˌbɔɹd/,real,in an honest manner,"above+board(ở trên, cao hơn + ban, bảng, tấm ván)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
above+ground,aboveground,[above+ground],0-2-0,adjective,/ɐbˌʌvɡɹˈaʊnd/,"generated (espeak-ng G2P, algorithmic)",on or above the surface of the ground,"above+ground(ở trên, cao hơn + mặt đất)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
absent+mind,absentmindedly,[absent+mind]-ly,0-2-1,adverb,/ˌæbsəntmˈaɪndɪdli/,real,in an absentminded or preoccupied manner,absent+mind(vắng mặt + tâm trí) + -ly(trạng từ chỉ cách thức / tính từ (giống như)),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ad+man,adman,[ad+man],0-2-0,noun,/ˈædmən/,real,someone whose business is advertising,ad+man(quảng cáo + đàn ông),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
air+base,airbase,[air+base],0-2-0,noun,/ˈɛɹˌbeɪs/,real,"air+base(the mixture of gases that surrounds the earth and that we breathe + the lowest part of something, especially the part or surface on which it rests or stands)","air+base(không khí, không trung + căn cứ, cơ sở)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
air+bed,airbed,[air+bed],0-2-0,noun,/ˈeəbd/,real,air+bed(the mixture of gases that surrounds the earth and that we breathe + a piece of furniture for sleeping on),"air+bed(không khí, không trung + giường)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
air+bus,airbus,[air+bus],0-2-0,noun,/ˈɛɹbəs/,real,a subsonic jet airliner operated over short distances,"air+bus(không khí, không trung + xe buýt)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
air+craft,antiaircraft,anti-[air+craft],1-2-0,adjective,/ˌæntaɪˈɛɹˌkɹæft/,real,designed for defense from a surface position against air attack,"anti-(chống lại) + air+craft(không khí, không trung + thủ công, chế tạo)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
air+craft,aircraft,[air+craft],0-2-0,noun,/ˈɛɹˌkɹæft/,real,any vehicle that can fly and carry goods or passengers,"air+craft(không khí, không trung + thủ công, chế tạo)",Oxford 5000 (verified),,
air+craft+man,aircraftman,[air+craft+man],0-3-0,noun,/ˈeəkɹɑːftmən/,real,a noncommissioned officer in the British Royal Air Force,"air+craft+man(không khí, không trung + thủ công, chế tạo + đàn ông)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
air+crew,aircrew,[air+crew],0-2-0,noun,/ˈɛɹˌkɹu/,real,the crew of an aircraft,"air+crew(không khí, không trung + phi hành đoàn)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
