root,pos,nghia_en,nghia_vi,la_goc_rang_buoc,bien_the,nguon_phan_loai
man,noun,an adult male human being; a human being in general,người đàn ông trưởng thành; con người nói chung,không,,Root gốc
head,noun,the upper part of the human body containing the brain,"phần đầu, cái đầu",không,,Root gốc
work,noun,activity involving effort done to achieve a purpose or result,"công việc, việc làm",không,,Root gốc
press,verb,to apply steady force against something,"ấn, ép, nhấn",không,,Root gốc
house,noun,a building for people to live in,"nhà, ngôi nhà",không,,Root gốc
back,noun,the rear surface of the human body from shoulders to hips,"lưng, phía sau",không,,Root gốc
act,noun,a thing done; a deed,"hành động, hành vi",không,,Root gốc
pose,verb,to put forward or present something; to assume a particular attitude or position,"đặt ra, đưa ra; tạo dáng",không,"pon, pound",Root gốc
like,adjective,having similar qualities or characteristics to another,"giống, tương tự",không,,Root gốc
line,noun,a long thin mark or stroke on a surface,"đường kẻ, đường thẳng",không,,Root gốc
way,noun,a method or manner of doing something; a road or path,cách thức; con đường,không,,Root gốc
book,noun,a written or printed work bound together in pages,sách,không,,Root gốc
side,noun,a surface or position to the left or right of something,"phía, bên, mặt",không,,Root gốc
log,,"word, speech; study, discourse, reasoning","lời nói, học thuyết, môn học, lý luận",có,"logue, logy",Root gốc
land,noun,the solid part of the earth's surface not covered by water,"đất, đất liền",không,,Root gốc
hand,noun,the end part of the arm used for grasping,bàn tay,không,,Root gốc
sense,noun,a faculty by which the body perceives an external stimulus,"giác quan, cảm giác",không,,Root gốc
fire,noun,"combustion producing light, heat, and flame",lửa,không,,Root gốc
serve,verb,to perform duties or provide services for someone,phục vụ,không,,Root gốc
room,noun,a space within a building enclosed by walls,phòng,không,,Root gốc
board,noun,"a flat, thin piece of wood or other material",tấm ván,không,,Root gốc
time,noun,"the continued progress of existence, measured in units",thời gian,không,,Root gốc
light,noun,the natural agent that stimulates sight and makes things visible,ánh sáng,không,,Root gốc
script,noun,a piece of handwriting; the written text of a play or film,"chữ viết; kịch bản, văn bản",không,scrib,Root gốc
up,adverb,"towards a higher place, position, or level","lên, lên trên",không,,Root gốc
form,noun,the visible shape or configuration of something,"hình dạng, hình thức",không,,Root gốc
air,noun,the invisible mixture of gases surrounding the earth,không khí,không,,Root gốc
wood,noun,the hard fibrous material forming the trunk of a tree,gỗ,không,,Root gốc
port,noun,a harbor town where ships load and unload cargo,"cảng, hải cảng",không,,Root gốc
play,verb,to engage in activity for enjoyment or recreation,"chơi, vui chơi",không,,Root gốc
foot,noun,the lower extremity of the leg below the ankle,bàn chân,không,,Root gốc
water,noun,a clear liquid essential for life,nước,không,,Root gốc
make,verb,to form something by putting parts together or creating it,"làm, chế tạo, tạo ra",không,,Root gốc
long,adjective,measuring a great distance from end to end,dài,không,,Root gốc
out,adverb,moving away from within a place; not indoors,ra ngoài,không,,Root gốc
heart,noun,the organ that pumps blood through the body,"trái tim, tim",không,,Root gốc
new,adjective,"recently made, introduced, or discovered",mới,không,,Root gốc
break,verb,to separate into pieces as a result of force,"làm vỡ, bẻ gãy",không,,Root gốc
bed,noun,a piece of furniture for sleeping or resting on,giường,không,,Root gốc
pot,noun,a rounded container used for cooking or storage,"nồi, chậu",không,,Root gốc
sun,noun,"the star around which the earth orbits, giving light and heat",mặt trời,không,,Root gốc
verse,,to turn,"xoay, quay",có,vert,Root gốc
wind,noun,the perceptible natural movement of air,gió,không,,Root gốc
pay,verb,to give money in exchange for goods or services,"trả tiền, thanh toán",không,,Root gốc
hold,verb,"to grasp, carry, or support something","giữ, cầm, nắm",không,,Root gốc
horse,noun,a large four-legged domesticated animal used for riding,ngựa,không,,Root gốc
woman,noun,an adult human female,người phụ nữ,không,,Root gốc
patho,,"suffering, disease; feeling","khổ đau, bệnh tật; cảm xúc",có,"path, pathy",Root gốc
stone,noun,"hard solid mineral matter, rock",đá,không,,Root gốc
day,noun,a period of twenty-four hours,ngày,không,,Root gốc
divide,verb,to separate into parts,"chia, phân chia",không,,Root gốc
state,noun,a nation or territory organized as a political community; a condition,"quốc gia, bang; trạng thái",không,,Root gốc
stand,verb,to be in an upright position on one's feet,đứng,không,,Root gốc
face,noun,the front part of the head from forehead to chin,khuôn mặt,không,,Root gốc
take,verb,to lay hold of something with one's hands,"lấy, cầm, nắm",không,,Root gốc
gun,noun,a weapon that fires bullets or shells,súng,không,,Root gốc
sea,noun,the expanse of salt water covering most of the earth's surface,biển,không,,Root gốc
fly,verb,to move through the air using wings,bay,không,,Root gốc
school,noun,an institution for educating children,trường học,không,,Root gốc
electr,,"to choose, to select","chọn, lựa chọn",có,elect,Root gốc
master,noun,a man who has authority or control over others,"chủ nhân, bậc thầy",không,,Root gốc
person,noun,a human being regarded as an individual,"người, cá nhân",không,,Root gốc
phon,,"sound, voice","âm thanh, tiếng nói",có,phone,Root gốc
bound,adjective,confined within limits; destined or intending to go somewhere,"bị giới hạn, ràng buộc; hướng đến (một nơi)",không,,Root gốc
tend,verb,to have an inclination to behave in a particular way; to take care of,"có xu hướng; chăm sóc, trông coi",không,,Root gốc
just,adjective,based on or behaving according to what is morally right and fair,"công bằng, đúng đắn",không,,Root gốc
free,adjective,not under the control of another; able to act as one wishes,tự do,không,,Root gốc
pulse,noun,the rhythmic throbbing of the arteries as blood is pumped through the body,"nhịp mạch, nhịp đập",không,,Root gốc
mark,noun,a visible sign or symbol on a surface,"dấu, vết, ký hiệu",không,,Root gốc
box,noun,"a container with a flat base and sides, typically square",hộp,không,,Root gốc
nation,noun,"a large group of people with common descent, culture, and history forming a political state","quốc gia, dân tộc",không,,Root gốc
night,noun,the period of darkness between sunset and sunrise,"đêm, ban đêm",không,,Root gốc
right,adjective,"correct, true, or in accordance with what is good or just","đúng, phải, bên phải",không,,Root gốc
sure,adjective,confident in what one thinks or knows; certain,chắc chắn,không,,Root gốc
lay,verb,to put something down carefully in a flat position,"đặt, để nằm xuống",không,,Root gốc
note,noun,a brief written record made to assist memory,"ghi chú, ghi nhớ",không,,Root gốc
down,adverb,towards a lower place or position,"xuống, hướng xuống",không,,Root gốc
sex,noun,"either of the two main categories, male and female, into which organisms are divided",giới tính,không,,Root gốc
god,noun,a superhuman being worshipped as having power over nature and human fortunes,"thần, thượng đế",không,,Root gốc
hair,noun,any of the fine threadlike strands growing from the skin,"tóc, lông",không,,Root gốc
weigh,verb,to find the weight of something; to have a specified weight,"cân, có trọng lượng",không,,Root gốc
west,noun,the direction in which the sun sets,"hướng tây, phía tây",không,,Root gốc
sign,noun,"a mark, symbol, or gesture conveying information or meaning","dấu hiệu, ký hiệu, biển báo",không,,Root gốc
self,noun,a person's essential being that distinguishes them from others,"bản thân, chính mình",không,,Root gốc
cloth,noun,woven or felted fabric made from fibers,vải,không,,Root gốc
go,verb,to move or travel from one place to another,đi,không,,Root gốc
hard,adjective,"solid, firm, and resistant to pressure; difficult",cứng; khó khăn,không,,Root gốc
race,noun,"a group of people sharing distinct physical characteristics, regarded as of common descent","chủng tộc, nòi giống",không,,Root gốc
ball,noun,a round object used in games and sports,quả bóng,không,,Root gốc
direct,adjective,extending or moving from one place to another without deviation,"trực tiếp, thẳng",không,,Root gốc
set,verb,to put something in a specified place or position,"đặt, để; thiết lập",không,,Root gốc
cut,verb,to make an opening or wound in something with a sharp tool,cắt,không,,Root gốc
part,noun,a piece or segment that combines with others to form a whole,"phần, bộ phận",không,,Root gốc
cast,verb,to throw something forcefully; to select actors for a role,"ném, quăng; chọn diễn viên",không,,Root gốc
class,noun,a set or category of things having common characteristics,"lớp, hạng, loại",không,,Root gốc
home,noun,the place where one lives permanently,"nhà, quê hương",không,,Root gốc
tribute,noun,"an act, statement, or gift given as a mark of respect or gratitude","sự tưởng nhớ, sự tôn vinh; cống phẩm",không,,Root gốc
tone,noun,"a musical or vocal sound with reference to its pitch, quality, and strength","âm điệu, âm sắc",không,,Root gốc
top,noun,the highest or uppermost point of something,"đỉnh, phần trên cùng",không,,Root gốc
arm,noun,the upper limb of the human body from shoulder to hand,cánh tay,không,,Root gốc
ten,,"to hold, to keep","giữ, nắm giữ",có,"tain, tent, tin",Root gốc
nature,noun,the physical world and everything in it not made by humans; the basic qualities of a person or thing,"tự nhiên, thiên nhiên; bản chất",không,,Root gốc
