root_word,derived_word,morphology_structure,pattern_PRS,pos,IPA,ipa_status,definition_en,nghia_tieng_viet,source,vi_note,existence_note
abandon,abandonment,[abandon]-ment,0-1-1,noun,/əˈbændənmənt/,real,withdrawing support or help despite allegiance or responsibility,"abandon(từ bỏ, bỏ rơi) + -ment(kết quả/hành động/trạng thái (danh từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
able,ably,[able]-y,0-1-1,adverb,/ˈeɪbɫi/,real,with competence,able(có khả năng) + -y(có tính chất; danh từ/tính từ),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
able,abler,[able]-er,0-1-1,noun,/ˈeɪbəɫɝ/,real,"comp. of Able.-- A""blest, a.,",able(có khả năng) + -er(người làm việc gì; so sánh hơn),"Webster's Unabridged Dictionary (1913, public domain)",công thức ghép (chưa xác thực),
able,ablest,[able]-est,0-1-1,adjective,/ˈeɪbəɫst/,real,"able(to have the skill, intelligence, opportunity, etc. needed to do something) + -est(superlative)",able(có khả năng) + -est(so sánh nhất),"compositional (generated, unverified)",công thức ghép (chưa xác thực),
able,ability,[able]-ity,0-1-1,noun,/əˈbɪɫəˌti/,real,the fact that somebody/something is able to do something,"able(có khả năng) + -ity(trạng thái, tính chất (danh từ))",Oxford 5000 (verified),,
able,unable,un-[able],1-1-0,adjective,/əˈneɪbəɫ/,real,"not having the skill, strength, time, knowledge, etc. to do something","un-(không, ngược lại (phủ định/đảo nghĩa)) + able(có khả năng)",Oxford 5000 (verified),,
able,enable,en-[able],1-1-0,verb,/ɛˈneɪbəɫ/,real,to make it possible for somebody/something to do something,"en-(làm cho, đưa vào) + able(có khả năng)",Oxford 5000 (verified),,
able,disable,dis-[able],1-1-0,verb,/dɪˈseɪbəɫ/,real,injure permanently,"dis-(không, ngược lại, tách rời) + able(có khả năng)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
able,inability,im-[able]-ity,1-1-1,noun,/ˌɪnəˈbɪɫɪti/,real,the fact of not being able to do something,"im-(không (biến thể của in- trước b/m/p)) + able(có khả năng) + -ity(trạng thái, tính chất (danh từ))",Oxford 5000 (verified),,
able,disability,dis-[able]-ity,1-1-1,noun,/ˌdɪsəˈbɪɫɪti/,real,a physical or mental condition that makes it difficult for somebody to do some things that most other people can do,"dis-(không, ngược lại, tách rời) + able(có khả năng) + -ity(trạng thái, tính chất (danh từ))",Oxford 5000 (verified),,
able,disablement,dis-[able]-ment,1-1-1,noun,/dˌɪsˈeɪbəlmənt/,real,the condition of being unable to perform as a consequence of physical or mental unfitness,"dis-(không, ngược lại, tách rời) + able(có khả năng) + -ment(kết quả/hành động/trạng thái (danh từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
