tu,pos,nghia_en,nghia_vi,cau_tao,kind,nguon,trong_morphlink,noun_type,noun_so_nhieu,adj_so_sanh_hon,adj_so_sanh_nhat,adj_ghi_chu,verb_hien_tai_don,verb_gerund,verb_qua_khu,verb_pp,so_nhieu_bat_quy_tac,dong_tu_bat_quy_tac,multi_nghia,meaning_vi_source,ipa,ipa_status
abandonment,noun,withdrawing support or help despite allegiance or responsibility,sự từ bỏ / bỏ rơi trách nhiệm hoặc sự hỗ trợ,[abandon]-ment,root,Đã có sẵn trong MorphLink (Word),có,N[C],abandonments,,,,,,,,,,,,/əˈbændənmənt/,real
abase,verb,to cause to feel shame,làm cho cảm thấy xấu hổ,a-[base],root,Đã có sẵn trong MorphLink (Word),có,,,,,,abases,abasing,abased,abased,,,,,/ɐbˈeɪs/,real
abasement,noun,depriving one of self-esteem,tước đi lòng tự trọng của một người,a-[base]-ment,root,Đã có sẵn trong MorphLink (Word),có,N[C],abasements,,,,,,,,,,,,/ɐbˈeɪsmənt/,real
ability,noun,"a particular skill or talent that a person has, especially one that can be developed or trained (often plural: abilities)","một kỹ năng hoặc năng khiếu cụ thể mà một người có, đặc biệt loại có thể rèn luyện được (thường dùng số nhiều: abilities)",[able]-ity,root,Đã có sẵn trong MorphLink (Word),có,N[C],abilities,,,,,,,,,,,,/əˈbɪɫəˌti/,real
ably,adverb,with competence,có năng lực,[able]-y,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈeɪbɫi/,real
abnormal,adjective,much greater than the normal,lớn hơn nhiều so với bình thường,ab-[norm]-al,root,Đã có sẵn trong MorphLink (Word),có,,,more abnormal,most abnormal,,,,,,,,,,/æbˈnɔɹməɫ/,real
abnormality,noun,behavior that breaches the rule or etiquette or custom or morality,hành vi vi phạm quy tắc hoặc nghi thức hoặc phong tục hoặc đạo đức,ab-[norm]-al-ity,root,Đã có sẵn trong MorphLink (Word),có,N[C],abnormalities,,,,,,,,,,,,/ˌæbnɔɹˈmæɫəti/,real
abnormally,adverb,in an abnormal manner,một cách bất thường,ab-[norm]-al-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/æbˈnɔɹməɫi/,real
abolition,noun,the act of abolishing a system or practice or institution (especially abolishing slavery),hành động bãi bỏ một hệ thống hoặc thực hành hoặc tổ chức (đặc biệt là bãi bỏ chế độ nô lệ),[abolish]-ion,root,Đã có sẵn trong MorphLink (Word),có,N[C],abolitions,,,,,,,,,,,,/ˌæbəˈɫɪʃən/,real
abolitionist,noun,a reformer who favors abolishing slavery,một nhà cải cách ủng hộ bãi bỏ chế độ nô lệ,[abolish]-ion-ist,root,Đã có sẵn trong MorphLink (Word),có,N[C],abolitionists,,,,,,,,,,,,/ˌæbəˈɫɪʃənəst/,real
aboriginal,adjective,"relating to the people who have lived in a region since the earliest times, especially the Aboriginal peoples of Australia; indigenous","thuộc về những cư dân bản địa có mặt từ thời xa xưa ở một vùng đất, đặc biệt là thổ dân Úc",ab-[origin]-al,root,Đã có sẵn trong MorphLink (Word),có,,,more aboriginal,most aboriginal,,,,,,,,,,/ˌæbɝˈɪdʒənəɫ/,real
aborigine,noun,an indigenous person who was born in a particular place,một người bản địa được sinh ra ở một nơi cụ thể,ab-[origin]-e,root,Đã có sẵn trong MorphLink (Word),có,N[C],aborigines,,,,,,,,,,,,/ˌæbɝˈɪdʒəni/,real
abortion,noun,the deliberate ending of a pregnancy,sự phá thai,abort-ion,root,Sinh mới (wordfreq ≥ 3.2),chưa,N[C],abortions,,,,,,,,,,,,/əˈbɔrʃən/,"generated (eng_to_ipa/CMUdict, algorithmic)"
aboveboard,adverb,in an honest manner,"một cách trung thực, công khai",[above+board],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,,,,,,,,,,/əˈbəvˌbɔɹd/,real
aboveground,adjective,on or above the surface of the ground,trên hoặc trên bề mặt mặt đất,[above+ground],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,more aboveground,most aboveground,,,,,,,,,,/ɐbˌʌvɡɹˈaʊnd/,"generated (espeak-ng G2P, algorithmic)"
abruptly,adverb,in a sudden and unexpected way,"một cách đột ngột, bất ngờ",abrupt-ly,root,Sinh mới (wordfreq ≥ 3.2),chưa,,,,,,,,,,,,,,/əˈbrəptli/,"generated (eng_to_ipa/CMUdict, algorithmic)"
absentee,noun,one that is absent or not in residence,một người vắng mặt hoặc không cư trú,[absent]-ee,root,Đã có sẵn trong MorphLink (Word),có,N[C],absentees,,,,,,,,,,,,/ˌæbsənˈti/,real
absenteeism,noun,habitual absence from work,thường xuyên vắng mặt tại nơi làm việc,[absent]-ee-ism,root,Đã có sẵn trong MorphLink (Word),có,N[C],absenteeisms,,,,,,,,,,,,/ˌæbsənˈtiɪzəm/,real
absently,adverb,in an absentminded or preoccupied manner,một cách lơ đãng hoặc bận tâm,[absent]-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈæbsəntli/,"generated (espeak-ng G2P, algorithmic)"
absentmindedly,adverb,in an absentminded or preoccupied manner,một cách lơ đãng hoặc bận tâm,[absent+mind]-ly,compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,,,,,,,,,,/ˌæbsəntmˈaɪndɪdli/,real
absolutely,adverb,used to emphasize that something is completely true,được sử dụng để nhấn mạnh rằng một cái gì đó là hoàn toàn đúng,[absolute]-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˌæbsəˈɫutɫi/,real
absoluteness,noun,the quality of being absolute,chất lượng tuyệt đối,[absolute]-ness,root,Đã có sẵn trong MorphLink (Word),có,N[U],,,,,,,,,,,,,/ˈæbsəˌɫutnəs/,real
absolution,noun,the act of absolving or remitting,hành động miễn trừ hoặc chuyển tiền,[absolute]-ion,root,Đã có sẵn trong MorphLink (Word),có,N[C],absolutions,,,,,,,,,,,,/ˌæbsəˈɫuʃən/,real
absolutism,noun,the doctrine of an absolute being,học thuyết về một hữu thể tuyệt đối,[absolute]-ism,root,Đã có sẵn trong MorphLink (Word),có,N[C],absolutisms,,,,,,,,,,,,/ˈæbsəˌɫuˌtɪzəm/,real
absolve,verb,to let off the hook,để buông móc,ab-[solve],root,Đã có sẵn trong MorphLink (Word),có,,,,,,absolves,absolving,absolved,absolved,,,,,/æbˈzɑɫv/,real
absurdity,noun,a ludicrous folly,một sự điên rồ lố bịch,[absurd]-ity,root,Đã có sẵn trong MorphLink (Word),có,N[C],absurdities,,,,,,,,,,,,/əbˈsɝdəti/,real
absurdly,adverb,in an absurd manner or to an absurd degree,một cách vô lý hoặc ở một mức độ vô lý,[absurd]-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/əbˈsɝdɫi/,real
abusive,adjective,characterized by physical or psychological maltreatment,đặc trưng bởi sự ngược đãi về thể chất hoặc tâm lý,[abuse]-ive,root,Đã có sẵn trong MorphLink (Word),có,,,more abusive,most abusive,,,,,,,,,,/əbˈjusɪv/,real
abusively,adverb,in an abusive manner,một cách lạm dụng,[abuse]-ive-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ɐbjˈuːsɪvli/,real
acceleration,noun,an increase in speed or rate,"sự tăng tốc, sự gia tăng tốc độ",accelerate-ion,root,Sinh mới (wordfreq ≥ 3.2),chưa,N[C],accelerations,,,,,,,,,,,,/ˌækˌsɛlərˈeɪʃən/,"generated (eng_to_ipa/CMUdict, algorithmic)"
accelerator,noun,a pedal in a vehicle that is pressed to increase its speed,bàn đạp ga (trên xe),accelerate-or,root,Sinh mới (wordfreq ≥ 3.2),chưa,N[C],accelerators,,,,,,,,,,"thiết bị/chất làm tăng tốc một quá trình (vd máy gia tốc hạt, chất xúc tác)",,/ækˈsɛlərˌeɪtər/,"generated (eng_to_ipa/CMUdict, algorithmic)"
accentual,adjective,(of verse) having a metric system based on stress rather than syllables or quantity,(của câu) có hệ mét dựa trên trọng âm thay vì âm tiết hoặc số lượng,[accent]-al,root,Đã có sẵn trong MorphLink (Word),có,,,more accentual,most accentual,,,,,,,,,,/æksˈɛntʃuːəl/,"generated (espeak-ng G2P, algorithmic)"
accentuate,verb,to put stress on,"nhấn mạnh (liên quan đến trọng âm, giọng nói)",[accent]-ate,root,Đã có sẵn trong MorphLink (Word),có,,,,,,accentuates,accentuating,accentuated,accentuated,,,,,/ækˈsɛntʃueɪt/,real
accentuation,noun,the act of giving special importance or significance to something,hành động đưa ra tầm quan trọng hoặc ý nghĩa đặc biệt cho một cái gì đó,[accent]-ate-ion,root,Đã có sẵn trong MorphLink (Word),có,N[C],accentuations,,,,,,,,,,,,/æksˈɛntʃuːˈeɪʃən/,"generated (espeak-ng G2P, algorithmic)"
acceptability,noun,satisfactoriness by virtue of conforming to approved standards,thỏa mãn nhờ tuân thủ các tiêu chuẩn đã được phê duyệt,[accept]-able-ity,root,Đã có sẵn trong MorphLink (Word),có,N[C],acceptabilities,,,,,,,,,,,,/əkˌsɛptəˈbɪɫəti/,real
acceptable,adjective,agreed or approved of by most people in a society,được hầu hết mọi người trong xã hội đồng ý hoặc chấp thuận,[accept]-able,root,Đã có sẵn trong MorphLink (Word),có,,,more acceptable,most acceptable,,,,,,,,,,/ækˈsɛptəbəɫ/,real
acceptably,adverb,in an acceptable (but not outstanding) manner,một cách chấp nhận được (nhưng không nổi bật),[accept]-able-y,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ækˈsɛptəbɫi/,real
acceptance,noun,"the act of accepting a gift, an invitation, an offer, etc.","hành động chấp nhận một món quà, một lời mời, một lời đề nghị, v.v",[accept]-ance,root,Đã có sẵn trong MorphLink (Word),có,N[C],acceptances,,,,,,,,,,,,/ækˈsɛptəns/,real
acceptation,noun,the act of accepting with approval,hành động chấp nhận với sự chấp thuận,[accept]-ion,root,Đã có sẵn trong MorphLink (Word),có,N[C],acceptations,,,,,,,,,,,,/ɐksɪptˈeɪʃən/,real
accessibility,noun,the attribute of being easy to meet or deal with,thuộc tính dễ gặp hoặc dễ giải quyết,[access]-able-ity,root,Đã có sẵn trong MorphLink (Word),có,N[C],accessibilities,,,,,,,,,,,,/ˌæksɛsəˈbɪɫɪti/,real
accessible,adjective,"that can be reached, entered, used, seen, etc.","có thể tiếp cận, nhập, sử dụng, nhìn thấy, v.v",[access]-able,root,Đã có sẵn trong MorphLink (Word),có,,,more accessible,most accessible,,,,,,,,,,/ækˈsɛsəbəɫ/,real
accession,noun,the act of attaining or gaining access to a new office or right or position (especially the throne),hành động đạt được hoặc có được quyền truy cập vào một văn phòng hoặc quyền hoặc vị trí mới (đặc biệt là ngai vàng),[access]-ion,root,Đã có sẵn trong MorphLink (Word),có,N[C],accessions,,,,,,,,,,,,/əkˈsɛʃən/,real
accessors,noun,"a method used to read or retrieve the value of a data field, especially in object-oriented programming","phương thức truy xuất (getter) dùng để đọc giá trị của một trường dữ liệu, đặc biệt trong lập trình hướng đối tượng",[access]-or,root,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],,,,,,,,,Từ có vẻ đã ở dạng SỐ NHIỀU sẵn (kết thúc bằng '-s'),,,,/ɐksˈɛsɚz/,"generated (espeak-ng G2P, algorithmic)"
accidental,adjective,happening by chance or unexpectedly or unintentionally,xảy ra một cách tình cờ hoặc bất ngờ hoặc vô ý,[accident]-al,root,Đã có sẵn trong MorphLink (Word),có,,,more accidental,most accidental,,,,,,,,,,/ˌæksəˈdɛnəɫ/,real
accidentally,adverb,by chance; in a way that was not planned,tình cờ; theo cách không được lên kế hoạch,[accident]-al-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˌæksəˈdɛnəɫi/,real
acclimate,verb,to get used to a certain climate,để làm quen với một khí hậu nhất định,a-[climate],root,Đã có sẵn trong MorphLink (Word),có,,,,,,acclimates,acclimating,acclimated,acclimated,,,,,/ˈækɫəˌmeɪt/,real
acclimation,noun,adaptation to a new climate (a new temperature or altitude or environment),thích nghi với khí hậu mới (nhiệt độ hoặc độ cao hoặc môi trường mới),a-[climate]-ion,root,Đã có sẵn trong MorphLink (Word),có,N[C],acclimations,,,,,,,,,,,,/ˌækɫəˈmeɪʃən/,real
acclimatization,noun,adaptation to a new climate (a new temperature or altitude or environment),thích nghi với khí hậu mới (nhiệt độ hoặc độ cao hoặc môi trường mới),a-[climate]-ize-ion,root,Đã có sẵn trong MorphLink (Word),có,N[C],acclimatizations,,,,,,,,,,,,/ɐklˌaɪmɐɾᵻzˈeɪʃən/,"generated (espeak-ng G2P, algorithmic)"
acclimatize,verb,to get used to a certain climate,để làm quen với một khí hậu nhất định,a-[climate]-ize,root,Đã có sẵn trong MorphLink (Word),có,,,,,,acclimatizes,acclimatizing,acclimatized,acclimatized,,,,,/ɐklˈaɪmɐtˌaɪz/,"generated (espeak-ng G2P, algorithmic)"
accommodation,noun,"a place to live, work, or stay in; lodging in general","chỗ ở, nơi lưu trú nói chung (không đếm được)",[accommodate]-ion,root,Đã có sẵn trong MorphLink (Word),có,N[U],,,,,,,,,,,,,/əˌkɑməˈdeɪʃən/,real
accompaniment,noun,a piece of music played or sung together with a main melody or performer to support it,phần đệm (âm nhạc) đi kèm với giai điệu hoặc người biểu diễn chính,accompany-ment,root,Sinh mới (wordfreq ≥ 3.2),chưa,N[C],accompaniments,,,,,,,,,,,,/əˈkəmpnɪmənt/,"generated (eng_to_ipa/CMUdict, algorithmic)"
accomplishment,noun,an impressive thing that is done or achieved after a lot of work,một điều ấn tượng được thực hiện hoặc đạt được sau rất nhiều công việc,[accomplish]-ment,root,Đã có sẵn trong MorphLink (Word),có,N[C],accomplishments,,,,,,,,,,,,/əˈkɑmpɫɪʃmənt/,real
accountability,noun,the fact of being responsible for your decisions or actions and expected to explain them when you are asked,thực tế là chịu trách nhiệm về các quyết định hoặc hành động của bạn và dự kiến sẽ giải thích chúng khi bạn được yêu cầu,[account]-able-ity,root,Đã có sẵn trong MorphLink (Word),có,N[C],accountabilities,,,,,,,,,,,,/əˈkaʊnəbɪɫɪti/,real
accountable,adjective,responsible for your decisions or actions and expected to explain them when you are asked,chịu trách nhiệm về các quyết định hoặc hành động của bạn và dự kiến sẽ giải thích chúng khi bạn được yêu cầu,[account]-able,root,Đã có sẵn trong MorphLink (Word),có,,,more accountable,most accountable,,,,,,,,,,/əˈkaʊnəbəɫ/,real
accountably,adjective,In an accountable manner.,một cách có trách nhiệm,[account]-able-y,root,Đã có sẵn trong MorphLink (Word),có,,,more accountably,most accountably,,,,,,,,,,/ɐkˈaʊntəbli/,"generated (espeak-ng G2P, algorithmic)"
accountancy,noun,the occupation of maintaining and auditing records and preparing financial reports for a business,nghề nghiệp duy trì và kiểm toán hồ sơ và chuẩn bị báo cáo tài chính cho một doanh nghiệp,[account]-ance-y,root,Đã có sẵn trong MorphLink (Word),có,N[C],accountancies,,,,,,,,,,,,/əˈkaʊntənsi/,real
accountant,noun,a person whose job is to keep or check financial accounts,một người có công việc là giữ hoặc kiểm tra tài khoản tài chính,[account]-ant,root,Đã có sẵn trong MorphLink (Word),có,N[C],accountants,,,,,,,,,,,,/əˈkaʊntənt/,real
