affix,loai,dang_hien_thi,nghia_en,nghia_vi,so_tu_dung,vi_du
a,prefix,a-,not/without (Greek); on/in (VD: aboard); or intensifier,không/vô (Hy Lạp); trên/vào (VD aboard),121,"abase, abasement, ascertain, ascertainable, acclimate, acclimatize"
ab,prefix,ab-,"away from, off","rời xa, khỏi",6,"abnormal, abnormally, abnormality, aborigine, aboriginal, absolve"
after,prefix,after-,"after, following","sau đó, theo sau",6,"afterbirth, aftercare, afterlife, afternoon, aftertaste, afterthought"
al,prefix,al-,"to, toward (assimilated form of ad-)","tất cả (biến thể, VD almighty)",2,"almighty, although"
ante,prefix,ante-,before,trước,3,"antechamber, antedate, anteroom"
anti,prefix,anti-,against,chống lại,16,"antibody, anticlockwise, antiredeposition, antifreeze, antigen, antihero"
auto,prefix,auto-,self (Greek),tự thân,2,"autoloader, automobile"
back,prefix,back-,"backward, behind","ngược lại, phía sau",13,"backbit, backbitten, backbite, backbiter, backchat, backdate"
be,prefix,be-,"thoroughly, to make, about","hoàn toàn, làm cho, về",34,"becalmed, bedeck, bedevil, bedevilment, befall, befallen"
bi,prefix,bi-,two,"hai, đôi",16,"bicameral, bicarbonate, bicycle, bicyclist, bilinear, bimetallic"
by,prefix,by-,"near, secondary, side","gần, phụ, bên cạnh",8,"bylaw, byline, bypass, bypath, byroad, bystander"
centi,prefix,centi-,"hundred, one hundredth",một phần trăm,2,"centigrade, centimetre"
circum,prefix,circum-,around (Latin),xung quanh,6,"circumpolar, circumscribe, circumscription, circumstance, circumstantial, circumstantially"
co,prefix,co-,"together, jointly","cùng nhau, chung",121,"coauthor, codetermines, coeditors, coeducation, coeducational, coexist"
cross,prefix,cross-,"across, crosswise","chéo, băng qua",20,"crossbar, crossbeam, crossbones, crossbow, crossbred, crosscheck"
de,prefix,de-,"down, away, reverse, remove","xuống, loại bỏ, đảo ngược",114,"deactivated, deactivation, debag, debase, debasement, debone"
demi,prefix,demi-,half,nửa,3,"demigod, demigoddess, epidemiological"
di,prefix,di-,"two, twice (Greek)",hai (Hy Lạp),4,"dipole, dissolve, dispirit, dispiritedly"
dia,prefix,dia-,"through, across (Greek)",xuyên qua (Hy Lạp),1,dialogue
dis,prefix,dis-,"not, opposite of, apart","không, ngược lại, tách rời",178,"disable, disability, disablement, disabuse, disadvantage, disadvantageous"
down,prefix,down-,downward,xuống,16,"downbeat, downcast, downfall, downgrade, downhearted, downheartedly"
dys,prefix,dys-,"bad, difficult, abnormal (Greek)","xấu, khó khăn (Hy Lạp)",1,dystrophy
e,prefix,e-,"out of, from (variant of ex-)",ra khỏi (biến thể của ex-),24,"efface, effacement, ineffaceable, elaborate, elaboration, elaborately"
