word,trang_thai,cong_thuc_hoac_nguon,meaning_en,meaning_vi
abandonment,Đã có trong MorphLink,co san trong du lieu goc,withdrawing support or help despite allegiance or responsibility,"abandon(từ bỏ, bỏ rơi) + -ment(kết quả/hành động/trạng thái (danh từ))"
abase,Đã có trong MorphLink,co san trong du lieu goc,to cause to feel shame,"a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + base(căn cứ, cơ sở)"
abasement,Đã có trong MorphLink,co san trong du lieu goc,depriving one of self-esteem,"a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + base(căn cứ, cơ sở) + -ment(kết quả/hành động/trạng thái (danh từ))"
ability,Đã có trong MorphLink,co san trong du lieu goc,the fact that somebody/something is able to do something,"able(có khả năng) + -ity(trạng thái, tính chất (danh từ))"
abler,Đã có trong MorphLink,co san trong du lieu goc,"comp. of Able.-- A""blest, a.,",able(có khả năng) + -er(người làm việc gì; so sánh hơn)
ablest,Đã có trong MorphLink,co san trong du lieu goc,"able(to have the skill, intelligence, opportunity, etc. needed to do something) + -est(superlative)",able(có khả năng) + -est(so sánh nhất)
ably,Đã có trong MorphLink,co san trong du lieu goc,with competence,able(có khả năng) + -y(có tính chất; danh từ/tính từ)
abnormal,Đã có trong MorphLink,co san trong du lieu goc,much greater than the normal,"ab-(rời xa, khỏi) + norm(chuẩn mực) + -al(thuộc về (tính từ); hành động (danh từ))"
abnormality,Đã có trong MorphLink,co san trong du lieu goc,behavior that breaches the rule or etiquette or custom or morality,"ab-(rời xa, khỏi) + norm(chuẩn mực) + -al(thuộc về (tính từ); hành động (danh từ)) + -ity(trạng thái, tính chất (danh từ))"
abnormally,Đã có trong MorphLink,co san trong du lieu goc,in an abnormal manner,"ab-(rời xa, khỏi) + norm(chuẩn mực) + -al(thuộc về (tính từ); hành động (danh từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
abolition,Đã có trong MorphLink,co san trong du lieu goc,the act of abolishing a system or practice or institution (especially abolishing slavery),"abolish(bãi bỏ, hủy bỏ) + -ion(hành động, quá trình, trạng thái (danh từ))"
abolitionist,Đã có trong MorphLink,co san trong du lieu goc,a reformer who favors abolishing slavery,"abolish(bãi bỏ, hủy bỏ) + -ion(hành động, quá trình, trạng thái (danh từ)) + -ist(người theo/thực hành (danh từ))"
aboriginal,Đã có trong MorphLink,co san trong du lieu goc,of or pertaining to members of the indigenous people of Australia,"ab-(rời xa, khỏi) + origin(nguồn gốc) + -al(thuộc về (tính từ); hành động (danh từ))"
aborigine,Đã có trong MorphLink,co san trong du lieu goc,an indigenous person who was born in a particular place,"ab-(rời xa, khỏi) + origin(nguồn gốc) + -e(e)"
aboveboard,Đã có trong MorphLink,co san trong du lieu goc,in an honest manner,"above+board(ở trên, cao hơn + ban, bảng, tấm ván)"
aboveground,Đã có trong MorphLink,co san trong du lieu goc,on or above the surface of the ground,"above+ground(ở trên, cao hơn + mặt đất)"
absentee,Đã có trong MorphLink,co san trong du lieu goc,one that is absent or not in residence,absent(vắng mặt) + -ee(người nhận/chịu tác động (danh từ))
absenteeism,Đã có trong MorphLink,co san trong du lieu goc,habitual absence from work,"absent(vắng mặt) + -ee(người nhận/chịu tác động (danh từ)) + -ism(niềm tin, học thuyết, tình trạng (danh từ))"
absently,Đã có trong MorphLink,co san trong du lieu goc,in an absentminded or preoccupied manner,absent(vắng mặt) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
absentmindedly,Đã có trong MorphLink,co san trong du lieu goc,in an absentminded or preoccupied manner,absent+mind(vắng mặt + tâm trí) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
absolutely,Đã có trong MorphLink,co san trong du lieu goc,used to emphasize that something is completely true,"absolute(tuyệt đối, hoàn toàn) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
absoluteness,Đã có trong MorphLink,co san trong du lieu goc,the quality of being absolute,"absolute(tuyệt đối, hoàn toàn) + -ness(trạng thái, tính chất (danh từ))"
absolution,Đã có trong MorphLink,co san trong du lieu goc,the act of absolving or remitting,"absolute(tuyệt đối, hoàn toàn) + -ion(hành động, quá trình, trạng thái (danh từ))"
