root_word,meaning,nghia_tieng_viet,used_in_single_root_group,used_in_compound_group,variants,variant_count,de_nham_lan,bien_the,topic,subtopic
a,used before countable or singular nouns referring to people or things that have not already been mentioned,một (mạo từ),False,True,nowadays,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngữ pháp và hư từ,Trợ từ
abandon,"to leave somebody, especially somebody you are responsible for, with no intention of returning","từ bỏ, bỏ rơi",True,False,abandonment,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Hành động và xử lý
able,"to have the skill, intelligence, opportunity, etc. needed to do something",có khả năng,True,False,ability; abler; ablest; ably; disability; disable; disablement; enable; inability; unable,10,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Khả năng và cần thiết
abolish,"to officially end a law, a system or an institution","bãi bỏ, hủy bỏ",True,False,abolition; abolitionist,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Hành động và xử lý
about,a little more or less than; a little before or after,"về, khoảng",False,True,hereabout; knockabout; layabout; roundabout; runabout; thereabout; turnabout; walkabout; whereabouts,9,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngữ pháp và hư từ,Giới từ
above,at or to a higher place,"ở trên, cao hơn",False,True,aboveboard; aboveground,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngôn ngữ hằng ngày,Giới từ và trạng từ chỉ nơi chốn
absent,"not in a place because of illness, etc.",vắng mặt,True,True,absentee; absenteeism; absently; absentmindedly,4,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Tính chất khác
absolute,total and complete,"tuyệt đối, hoàn toàn",True,False,absolutely; absoluteness; absolution; absolutism,4,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Mức độ và so sánh
absurd,extremely silly; not logical and sensible,"vô lý, phi lý",True,False,absurdity; absurdly,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Đánh giá và giá trị
abuse,the use of something in a way that is wrong or harmful,"lạm dụng, ngược đãi",True,False,abusive; abusively; disabuse,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Pháp luật, an toàn và khẩn cấp",Tội phạm và điều tra
accent,"a way of pronouncing the words of a language that shows which country, area or social class a person comes from; how well somebody pronounces a particular language","trọng âm, giọng nói",True,False,accentual; accentuate; accentuation,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Học tập và giáo dục,Học ngoại ngữ
accept,"to take willingly something that is offered; to say ‘yes’ to an offer, invitation, etc.",chấp nhận,True,False,acceptability; acceptable; acceptably; acceptance; acceptation; unacceptable,6,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Thái độ
access,the opportunity or right to use something or to see somebody/something,"truy cập, tiếp cận",True,False,accessibility; accessible; accession; accessors; inaccessibility; inaccessible; inaccessibly,7,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Khả năng và cần thiết
accident,"an unpleasant event, especially in a vehicle, that happens unexpectedly and causes injury or damage",tai nạn,True,False,accidental; accidentally,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Giao thông,Tai nạn và cứu hộ
accommodate,"to provide somebody with a room or place to sleep, live or sit","chứa, thích nghi",True,False,accommodation,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Du lịch và lưu trú,Khách sạn
accomplish,to succeed in doing or completing something,hoàn thành,True,False,accomplishment,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Hành động và xử lý
account,"an arrangement that somebody has with a bank, etc. to keep money there, take some out, etc.","tài khoản, tường thuật",True,False,accountability; accountable; accountably; accountancy; accountant; unaccountable; unaccountably,7,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Kinh doanh và tài chính,Tài khoản ngân hàng
accuse,to say that somebody has done something wrong or is guilty of something,buộc tội,True,False,accusation; accusative; accuser; accusingly,4,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Pháp luật, an toàn và khẩn cấp",Tòa án
achieve,"to succeed in reaching a particular goal, status or standard, especially by making an effort for a long time",đạt được,True,False,achievable; achievement; unachievable; unachieved; underachievers,5,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Hành động và xử lý
acid,that contains acid or has the essential characteristics of an acid; that has a pH of less than seven,"axit, chua",True,False,acidic; acidify; acidity; nonacid,4,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Khoa học, công nghệ và kỹ thuật",Hóa học
acre,a unit for measuring an area of land; 4 840 square yards or about 4 050 square metres,mẫu Anh (đơn vị diện tích),True,False,acreage,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Khoa học, công nghệ và kỹ thuật",Đo lường
act,a particular thing that somebody does,"hành động, đạo luật",True,True,action; actionable; activate; activation; active; actively; activism; activist; activity; actor; actress; actual; actuality; actually; actuarial; actuarially; actuary; actuate; counteract; counteraction; deactivated; deactivation; enact; enactment; hypoactive; inaction; inactivate; inactivation; inactive; inactively; inactivity; interact; interaction; interactive; nonreactivity; nonreactors; overact; overactive; radioactive; radioactively; radioactivity; react; reactants; reaction; reactionary; reactivate; reactive; reactively; reactiveness; reactivity; reactor; reenact; retroactive; retroactively; transact; transaction; underact,57,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Nghệ thuật, thiết kế và văn hóa",Nghệ thuật biểu diễn
acute,very serious or severe,"gay gắt, cấp tính",True,False,acutely; acuteness,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Sức khỏe,Triệu chứng
ad,"a notice, picture or film telling people about a product, job or service",quảng cáo,False,True,adman,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Kinh doanh và tài chính,Sản phẩm và dịch vụ
adapt,to change your behaviour in order to deal more successfully with a new situation,"thích nghi, chuyển thể",True,False,adaptability; adaptable; adaptation; adapter; maladaptive; readapting,6,adopt: adapt = thích nghi/chuyển thể; adopt = nhận nuôi/áp dụng,không có biến thể đáng chú ý,Khái niệm trừu tượng,Thay đổi và phát sinh
add,"to put something together with something else so as to increase the size, number, amount, etc.","thêm vào, cộng",True,False,addition; additional; additionally; additive,4,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngôn ngữ hằng ngày,Từ chỉ số lượng
address,"details of where somebody lives or works and where letters, etc. can be sent","địa chỉ, giải quyết",True,False,addressee; readdress,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngôn ngữ hằng ngày,Thông tin cá nhân
admire,to respect somebody for what they have done or to respect their qualities,ngưỡng mộ,True,False,admirable; admirably; admiration; admirer; admiringly,5,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Cảm xúc
admit,"to agree, often unwillingly, that something is true","thừa nhận, cho vào",True,False,admissibility; admissible; admission; admittance; admittedly; inadmissibility; inadmissible; inadmissibly,8,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Hành động và xử lý
adopt,to take somebody else’s child into your family and become its legal parent(s),"nhận nuôi, áp dụng",True,False,adoption; adoptive; unadopted,3,adapt: adapt = thích nghi/chuyển thể; adopt = nhận nuôi/áp dụng,không có biến thể đáng chú ý,Con người,Gia đình
adult,fully grown or developed,người lớn,True,False,adulthood,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Tuổi tác và các giai đoạn cuộc đời
advance,done or given before something is going to happen,"tiến bộ, ứng trước",True,False,advancement,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Thay đổi và phát sinh
advantage,a thing that helps you to be better or more successful than other people,lợi thế,True,False,advantageous; advantageously; disadvantage; disadvantageous; disadvantageously,5,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Đánh giá và giá trị
adverse,negative and unpleasant; not likely to produce a good result,"bất lợi, ngược lại",True,False,adversary; adversely; adversity,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Đánh giá và giá trị
advise,to tell somebody what you think they should do in a particular situation,khuyên bảo,True,False,advisability; advisable; advisedly; advisement; adviser; advisor; advisory; inadvisable; misadvise; unadvised; unadvisedly,11,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Quan hệ và ảnh hưởng
afraid,feeling fear; frightened because you think that you might be hurt or suffer,sợ hãi,True,False,unafraid,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Cảm xúc
after,later in time; afterwards,"sau, phía sau",True,True,afterward; hereafter; hereinafter; thereafter,4,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Thời gian và thứ tự
age,the number of years that a person has lived or a thing has existed,"tuổi, thời đại",True,True,ageless; agelessness; overage; teenage; teenager; underage,6,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Tuổi tác và các giai đoạn cuộc đời
agent,"a person whose job is to act for, or manage the affairs of, other people in business, politics, etc.","đại lý, tác nhân",True,True,newsagent; reagent,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Nghề nghiệp và công việc,Thông tin nghề nghiệp
ago,used in expressions of time with the simple past tense to show how far in the past something happened,trước đây (thời gian),False,True,portago,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Thời gian và thứ tự
